### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  8.20256412E-01  8.96682777E-03
1.71313847E-02  4.17067796E-01  5.96237183E-03
1.84003762E-02  2.59762555E-01  4.81124269E-03
1.96693677E-02  1.98008314E-01  4.02176892E-03
2.09383591E-02  1.53770208E-01  3.62037821E-03
2.22073506E-02  1.27235949E-01  2.88354605E-03
2.34763421E-02  1.02926269E-01  2.68452568E-03
2.47453335E-02  9.20131952E-02  2.45215977E-03
2.60143250E-02  8.18070248E-02  2.20456882E-03
2.72833164E-02  7.78982267E-02  2.25626142E-03
2.85523079E-02  7.16085583E-02  1.87344023E-03
2.98212994E-02  6.60423860E-02  1.92338333E-03
3.10902908E-02  6.22734502E-02  1.79320166E-03
3.23592823E-02  5.88169917E-02  1.74200896E-03
3.36282738E-02  5.53863086E-02  1.64764328E-03
3.48972652E-02  5.21016195E-02  1.47424615E-03
3.61662567E-02  4.89704870E-02  1.47718738E-03
3.74352481E-02  4.69695032E-02  1.41553988E-03
3.87042396E-02  4.90592457E-02  1.46266352E-03
3.99732311E-02  4.69769388E-02  1.35723886E-03
4.12422225E-02  4.35114428E-02  1.28141162E-03
4.25112140E-02  4.26733717E-02  1.28257147E-03
4.37802055E-02  4.06660214E-02  1.21512974E-03
4.50491969E-02  3.95044312E-02  1.19875430E-03
4.63181884E-02  3.87747996E-02  1.14539976E-03
4.75871798E-02  4.02115732E-02  1.15695642E-03
4.88561713E-02  3.64916474E-02  1.15338154E-03
5.01251628E-02  3.64226401E-02  1.04064657E-03
5.13941542E-02  3.31576727E-02  9.86811938E-04
5.26631457E-02  3.48960869E-02  1.03489391E-03
5.39321372E-02  3.44925448E-02  1.01317128E-03
5.52011286E-02  3.41056548E-02  1.04853231E-03
5.64701201E-02  3.26120816E-02  9.20546358E-04
5.77391115E-02  3.33420746E-02  9.84054292E-04
5.90081030E-02  3.17056961E-02  9.37799690E-04
6.02770945E-02  3.01130321E-02  9.13309399E-04
6.15460859E-02  3.19844112E-02  9.22533975E-04
6.28150774E-02  3.21572162E-02  8.89468356E-04
6.40840689E-02  2.98397522E-02  9.07141366E-04
6.53530603E-02  2.97054872E-02  8.50451761E-04
6.66220518E-02  2.95351055E-02  8.64202797E-04
6.78910432E-02  3.12241688E-02  8.26848496E-04
6.91600347E-02  2.84700841E-02  8.12754675E-04
7.04290262E-02  2.78857518E-02  8.19092267E-04
7.16980176E-02  2.91334447E-02  7.98543275E-04
7.29670091E-02  2.87705623E-02  7.90365972E-04
7.42360006E-02  2.96093263E-02  7.97324581E-04
7.55049920E-02  2.79256441E-02  7.74201995E-04
7.67739835E-02  2.69722212E-02  7.72522704E-04
7.80429750E-02  2.62075756E-02  7.14283378E-04
7.93119664E-02  2.62728352E-02  7.38307950E-04
8.05809579E-02  2.42612362E-02  6.96743489E-04
8.18499493E-02  2.56755129E-02  7.17050512E-04
8.31189408E-02  2.61861179E-02  7.42996926E-04
8.43879323E-02  2.51347050E-02  6.79519202E-04
8.56569237E-02  2.40767412E-02  6.62874780E-04
8.69259152E-02  2.48085689E-02  6.75401592E-04
8.81949067E-02  2.55172532E-02  6.84627972E-04
8.94638981E-02  2.36313827E-02  6.69392932E-04
9.07328896E-02  2.37104055E-02  6.44263870E-04
9.20018810E-02  2.26805340E-02  6.36071432E-04
9.32708725E-02  2.30572987E-02  6.36656769E-04
9.45398640E-02  2.27152687E-02  6.17663900E-04
9.58088554E-02  2.35731229E-02  6.30625174E-04
9.70778469E-02  2.30900478E-02  6.13340817E-04
9.83468384E-02  2.24318672E-02  6.25140558E-04
9.96158298E-02  2.28248704E-02  6.00183092E-04
1.00884821E-01  2.17665322E-02  5.88981784E-04
1.02153813E-01  2.26896312E-02  6.10001385E-04
1.03422804E-01  2.26287786E-02  5.87701797E-04
1.04691796E-01  2.35749017E-02  6.20739011E-04
1.05960787E-01  2.15080269E-02  5.67809562E-04
1.07229779E-01  2.18811724E-02  5.77531755E-04
1.08498770E-01  2.08060257E-02  5.60037617E-04
1.09767762E-01  2.27245316E-02  5.82011766E-04
1.11036753E-01  2.22672950E-02  5.87110058E-04
1.12305744E-01  2.12274492E-02  5.43223869E-04
1.13574736E-01  2.13457514E-02  5.84250840E-04
1.14843727E-01  2.17430275E-02  5.72470308E-04
1.16112719E-01  2.07336117E-02  5.74019039E-04
1.17381710E-01  2.08674651E-02  5.82613691E-04
1.18650702E-01  2.15598419E-02  5.68743562E-04
1.19919693E-01  2.07141340E-02  5.61111781E-04
1.21188685E-01  2.05425099E-02  5.67281211E-04
1.22457676E-01  2.11958196E-02  5.75162761E-04
1.23726668E-01  2.16522794E-02  5.82078355E-04
1.24995659E-01  2.16874983E-02  5.73518686E-04
1.26264651E-01  2.19551604E-02  5.97437087E-04
1.27533642E-01  2.10605618E-02  5.83689951E-04
1.28802633E-01  2.12446731E-02  5.89978765E-04
1.30071625E-01  2.19922289E-02  6.12695178E-04
1.31340616E-01  2.05164719E-02  5.96416648E-04
1.32609608E-01  2.11524721E-02  6.16366044E-04
1.33878599E-01  2.10964046E-02  5.88067051E-04
1.35147591E-01  2.04379987E-02  6.02390850E-04
1.36416582E-01  2.13467609E-02  6.17156853E-04
1.37685574E-01  2.03657765E-02  6.04854256E-04
1.38954565E-01  2.06534937E-02  6.28236216E-04
1.40223557E-01  1.98739599E-02  5.75882092E-04
1.41492548E-01  2.09034849E-02  6.25455927E-04
1.42761540E-01  2.16864664E-02  6.39001257E-04
1.44030531E-01  2.11269688E-02  6.25479093E-04
1.45299522E-01  2.02993024E-02  6.21773943E-04
1.46568514E-01  2.10969057E-02  6.11076423E-04
1.47837505E-01  2.03876905E-02  6.06033078E-04
1.49106497E-01  2.03518625E-02  5.96178288E-04
1.50375488E-01  2.09826045E-02  5.99587162E-04
1.51644480E-01  2.19945442E-02  6.05258276E-04
1.52913471E-01  2.02836022E-02  5.70313772E-04
1.54182463E-01  1.93160102E-02  5.56260929E-04
1.55451454E-01  2.12213695E-02  5.77783561E-04
1.56720446E-01  2.00398173E-02  5.60503104E-04
1.57989437E-01  2.00359561E-02  5.66730101E-04
1.59258429E-01  2.01552622E-02  5.65776543E-04
1.60527420E-01  1.91180762E-02  5.42379858E-04
1.61796411E-01  2.17614621E-02  5.40733221E-04
1.63065403E-01  2.09808555E-02  5.39245317E-04
1.64334394E-01  2.04850845E-02  5.30022022E-04
1.65603386E-01  1.98519398E-02  5.19808265E-04
1.66872377E-01  1.97220221E-02  5.22021437E-04
1.68141369E-01  2.00279802E-02  4.92166087E-04
1.69410360E-01  2.11918578E-02  5.17987588E-04
1.70679352E-01  2.04092842E-02  5.07879944E-04
1.71948343E-01  1.95255596E-02  4.87771322E-04
1.73217335E-01  1.96925439E-02  4.93638567E-04
1.74486326E-01  2.06386205E-02  4.88883234E-04
1.75755318E-01  1.95870325E-02  4.86566976E-04
1.77024309E-01  1.98201258E-02  4.85013006E-04
1.78293300E-01  2.05224454E-02  4.75485285E-04
1.79562292E-01  2.01945025E-02  4.81579278E-04
1.80831283E-01  2.04383675E-02  4.77546448E-04
1.82100275E-01  1.98425315E-02  4.70654370E-04
1.83369266E-01  2.07705852E-02  4.87448182E-04
1.84638258E-01  2.00739987E-02  4.62627970E-04
1.85907249E-01  1.93653572E-02  4.62083583E-04
1.87176241E-01  2.03131791E-02  4.65653953E-04
1.88445232E-01  2.02914719E-02  4.64561424E-04
1.89714224E-01  1.97329484E-02  4.51801199E-04
