### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  8.10422540E-01  8.88377707E-03
1.71313847E-02  4.08248305E-01  5.87970903E-03
1.84003762E-02  2.59306371E-01  4.79130168E-03
1.96693677E-02  1.89817771E-01  3.92483827E-03
2.09383591E-02  1.49125144E-01  3.55362147E-03
2.22073506E-02  1.15822941E-01  2.74218759E-03
2.34763421E-02  9.94024128E-02  2.62954622E-03
2.47453335E-02  8.95297825E-02  2.41093454E-03
2.60143250E-02  8.46372768E-02  2.23504915E-03
2.72833164E-02  7.02480674E-02  2.13560415E-03
2.85523079E-02  6.97290227E-02  1.84264663E-03
2.98212994E-02  6.08810447E-02  1.84065942E-03
3.10902908E-02  5.66900223E-02  1.70462579E-03
3.23592823E-02  5.13083301E-02  1.62170117E-03
3.36282738E-02  5.13239913E-02  1.58088445E-03
3.48972652E-02  4.90263253E-02  1.42600306E-03
3.61662567E-02  4.67915647E-02  1.43922959E-03
3.74352481E-02  4.46727462E-02  1.37666310E-03
3.87042396E-02  4.31552306E-02  1.36673986E-03
3.99732311E-02  4.08657268E-02  1.26294687E-03
4.12422225E-02  4.07925993E-02  1.23613933E-03
4.25112140E-02  4.05997261E-02  1.24583533E-03
4.37802055E-02  3.77673209E-02  1.16830762E-03
4.50491969E-02  3.49179022E-02  1.12346269E-03
4.63181884E-02  3.67752910E-02  1.11337332E-03
4.75871798E-02  3.63503732E-02  1.09650171E-03
4.88561713E-02  3.35479677E-02  1.10067241E-03
5.01251628E-02  3.33810039E-02  9.95215261E-04
5.13941542E-02  3.34645733E-02  9.90236527E-04
5.26631457E-02  3.50335501E-02  1.03397900E-03
5.39321372E-02  3.20832506E-02  9.75349278E-04
5.52011286E-02  3.37233543E-02  1.03972806E-03
5.64701201E-02  3.25273685E-02  9.13818774E-04
5.77391115E-02  3.24343406E-02  9.66574182E-04
5.90081030E-02  3.14164236E-02  9.30060633E-04
6.02770945E-02  3.02979164E-02  9.09390859E-04
6.15460859E-02  3.01697366E-02  8.95475270E-04
6.28150774E-02  3.20201367E-02  8.81993445E-04
6.40840689E-02  3.13070528E-02  9.24801221E-04
6.53530603E-02  3.11952103E-02  8.67534138E-04
6.66220518E-02  3.08958776E-02  8.83076340E-04
6.78910432E-02  3.00245825E-02  8.08803889E-04
6.91600347E-02  2.95678079E-02  8.23873794E-04
7.04290262E-02  2.93669011E-02  8.39693646E-04
7.16980176E-02  3.12163085E-02  8.23190610E-04
7.29670091E-02  3.18371281E-02  8.27834534E-04
7.42360006E-02  3.04961223E-02  8.05594318E-04
7.55049920E-02  2.98188161E-02  7.95520260E-04
7.67739835E-02  3.04083861E-02  8.17963330E-04
7.80429750E-02  3.00097931E-02  7.59063114E-04
7.93119664E-02  3.20279263E-02  8.07536708E-04
8.05809579E-02  3.03770211E-02  7.70825776E-04
8.18499493E-02  3.06646060E-02  7.79617229E-04
8.31189408E-02  3.30009386E-02  8.28391581E-04
8.43879323E-02  3.23138833E-02  7.65897974E-04
8.56569237E-02  3.46994773E-02  7.89229525E-04
8.69259152E-02  3.66632156E-02  8.13933730E-04
8.81949067E-02  3.89011279E-02  8.38377746E-04
8.94638981E-02  4.39848192E-02  9.04072658E-04
9.07328896E-02  5.30941933E-02  9.53138340E-04
9.20018810E-02  6.80150464E-02  1.08799711E-03
9.32708725E-02  8.77637863E-02  1.22486264E-03
9.45398640E-02  1.10951655E-01  1.34796661E-03
9.58088554E-02  1.35775492E-01  1.49747310E-03
9.70778469E-02  1.55096039E-01  1.57403166E-03
9.83468384E-02  1.66979820E-01  1.68220815E-03
9.96158298E-02  1.72791451E-01  1.63484365E-03
1.00884821E-01  1.64426252E-01  1.59479375E-03
1.02153813E-01  1.47214830E-01  1.53357105E-03
1.03422804E-01  1.25646994E-01  1.36726373E-03
1.04691796E-01  1.00394033E-01  1.26645516E-03
1.05960787E-01  8.36232305E-02  1.10288640E-03
1.07229779E-01  6.57506734E-02  9.89207416E-04
1.08498770E-01  5.33556230E-02  8.81099026E-04
1.09767762E-01  4.70870771E-02  8.27618875E-04
1.11036753E-01  4.34430279E-02  8.10498430E-04
1.12305744E-01  4.06695008E-02  7.40302319E-04
1.13574736E-01  3.80878374E-02  7.69018836E-04
1.14843727E-01  3.84150073E-02  7.51359854E-04
1.16112719E-01  3.64098400E-02  7.50596984E-04
1.17381710E-01  3.53502519E-02  7.47075304E-04
1.18650702E-01  3.59260179E-02  7.22723838E-04
1.19919693E-01  3.20771746E-02  6.89699780E-04
1.21188685E-01  3.34257595E-02  7.11022818E-04
1.22457676E-01  3.38789858E-02  7.16457085E-04
1.23726668E-01  3.31557356E-02  7.10930908E-04
1.24995659E-01  3.13568935E-02  6.81011414E-04
1.26264651E-01  3.02607659E-02  6.94583752E-04
1.27533642E-01  3.07738539E-02  6.96342089E-04
1.28802633E-01  3.00354585E-02  6.93625188E-04
1.30071625E-01  2.97648590E-02  7.07849045E-04
1.31340616E-01  3.04988287E-02  7.14892871E-04
1.32609608E-01  3.08338851E-02  7.34134403E-04
1.33878599E-01  3.01855952E-02  6.92684960E-04
1.35147591E-01  2.83272117E-02  6.98830176E-04
1.36416582E-01  2.94257291E-02  7.18323863E-04
1.37685574E-01  2.99139563E-02  7.24016048E-04
1.38954565E-01  2.90219132E-02  7.37329305E-04
1.40223557E-01  2.89958138E-02  6.85335719E-04
1.41492548E-01  2.92905513E-02  7.29295716E-04
1.42761540E-01  2.89817285E-02  7.28872197E-04
1.44030531E-01  2.92021725E-02  7.25514197E-04
1.45299522E-01  2.94773821E-02  7.37622846E-04
1.46568514E-01  2.84702852E-02  7.00447359E-04
1.47837505E-01  2.85906903E-02  7.04683771E-04
1.49106497E-01  2.90113501E-02  7.00320816E-04
1.50375488E-01  2.87313797E-02  6.93168782E-04
1.51644480E-01  2.87777483E-02  6.85557548E-04
1.52913471E-01  2.73181405E-02  6.54488103E-04
1.54182463E-01  2.84358375E-02  6.65083702E-04
1.55451454E-01  2.92360988E-02  6.68604975E-04
1.56720446E-01  2.87088174E-02  6.59834652E-04
1.57989437E-01  2.89346408E-02  6.71978923E-04
