### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  -7.15929270E-03  4.11620224E-03
1.71313847E-02  -8.23232532E-03  2.73183407E-03
1.84003762E-02  -3.25113535E-03  2.20889016E-03
1.96693677E-02  -6.91087544E-03  1.80416484E-03
2.09383591E-02  -9.42547619E-03  1.64632709E-03
2.22073506E-02  -9.67167318E-03  1.29913597E-03
2.34763421E-02  -2.39802152E-03  1.24199898E-03
2.47453335E-02  -5.02096117E-03  1.12430123E-03
2.60143250E-02  -5.30899316E-03  1.01483136E-03
2.72833164E-02  -5.77027351E-03  1.01625081E-03
2.85523079E-02  -4.65687364E-03  8.44160269E-04
2.98212994E-02  -4.43104655E-03  8.64602509E-04
3.10902908E-02  -4.64060903E-03  8.09186255E-04
3.23592823E-02  -4.44039330E-03  7.82075571E-04
3.36282738E-02  -4.21106443E-03  7.43686222E-04
3.48972652E-02  -3.44046950E-03  6.70575711E-04
3.61662567E-02  -4.16288525E-03  6.75738265E-04
3.74352481E-02  -3.19827348E-03  6.47610635E-04
3.87042396E-02  -2.95971707E-03  6.41455699E-04
3.99732311E-02  -2.99883261E-03  5.96158730E-04
4.12422225E-02  -3.51159647E-03  5.76105667E-04
4.25112140E-02  -2.42698565E-03  5.72546793E-04
4.37802055E-02  -3.27921659E-03  5.46801020E-04
4.50491969E-02  -2.32250616E-03  5.42210939E-04
4.63181884E-02  -1.70415640E-03  5.15383319E-04
4.75871798E-02  -2.12547928E-03  5.05842909E-04
4.88561713E-02  -2.34855339E-03  5.22965798E-04
5.01251628E-02  -2.78481469E-03  4.68937826E-04
5.13941542E-02  -1.34982169E-03  4.57994494E-04
5.26631457E-02  -2.06503272E-03  4.67222504E-04
5.39321372E-02  -2.02750787E-03  4.53496177E-04
5.52011286E-02  -1.02761388E-03  4.71313571E-04
5.64701201E-02  -5.45233488E-05  4.22043056E-04
5.77391115E-02  -1.09907053E-03  4.39804862E-04
5.90081030E-02  -2.31135637E-04  4.30556043E-04
6.02770945E-02  2.37118453E-04  4.25641862E-04
6.15460859E-02  -1.81091949E-04  4.16630821E-04
6.28150774E-02  -5.53838909E-04  3.98489763E-04
6.40840689E-02  -3.46032903E-04  4.20303288E-04
6.53530603E-02  6.53438270E-04  3.94247152E-04
6.66220518E-02  2.31996179E-04  4.01642843E-04
6.78910432E-02  7.35467300E-04  3.72075854E-04
6.91600347E-02  1.26532093E-03  3.79522826E-04
7.04290262E-02  1.87900290E-03  3.86843982E-04
7.16980176E-02  1.28521211E-03  3.70552472E-04
7.29670091E-02  1.88102759E-03  3.66723398E-04
7.42360006E-02  2.25280412E-03  3.64619016E-04
7.55049920E-02  3.32336314E-03  3.61508253E-04
7.67739835E-02  3.34299356E-03  3.66277527E-04
7.80429750E-02  3.64014134E-03  3.42648593E-04
7.93119664E-02  4.26167622E-03  3.53066163E-04
8.05809579E-02  5.29783778E-03  3.45213368E-04
8.18499493E-02  5.96314296E-03  3.49360198E-04
8.31189408E-02  7.34207220E-03  3.57317826E-04
8.43879323E-02  8.44442472E-03  3.36478697E-04
8.56569237E-02  1.05508324E-02  3.38519196E-04
8.69259152E-02  1.27693322E-02  3.44763539E-04
8.81949067E-02  1.57074966E-02  3.52842471E-04
8.94638981E-02  2.14171633E-02  3.70577327E-04
9.07328896E-02  3.05071473E-02  3.80236626E-04
9.20018810E-02  4.60924394E-02  4.18586831E-04
9.32708725E-02  6.51939213E-02  4.56662499E-04
9.45398640E-02  8.98156911E-02  4.94106614E-04
9.58088554E-02  1.16409361E-01  5.42057154E-04
9.70778469E-02  1.38319224E-01  5.68867777E-04
9.83468384E-02  1.52295753E-01  6.08349685E-04
9.96158298E-02  1.55677542E-01  5.85387344E-04
1.00884821E-01  1.47774383E-01  5.72440505E-04
1.02153813E-01  1.30228490E-01  5.54155733E-04
1.03422804E-01  1.08425528E-01  4.99117712E-04
1.04691796E-01  8.26753378E-02  4.70914092E-04
1.05960787E-01  6.27044886E-02  4.11070039E-04
1.07229779E-01  4.51449156E-02  3.80102923E-04
1.08498770E-01  3.37227955E-02  3.49414389E-04
1.09767762E-01  2.59769000E-02  3.32154334E-04
1.11036753E-01  2.15953775E-02  3.26250010E-04
1.12305744E-01  1.93493776E-02  3.02310305E-04
1.13574736E-01  1.71574056E-02  3.18206759E-04
1.14843727E-01  1.59036908E-02  3.07161943E-04
1.16112719E-01  1.43745709E-02  3.09398485E-04
1.17381710E-01  1.35549679E-02  3.09142517E-04
1.18650702E-01  1.33631658E-02  2.96820654E-04
1.19919693E-01  1.22900587E-02  2.94531696E-04
1.21188685E-01  1.16532259E-02  2.98146886E-04
1.22457676E-01  1.16922278E-02  2.96169514E-04
1.23726668E-01  1.11749247E-02  2.97090854E-04
1.24995659E-01  1.08064190E-02  2.90461467E-04
1.26264651E-01  9.62685235E-03  2.98986997E-04
1.27533642E-01  1.03670433E-02  2.96849583E-04
1.28802633E-01  1.00458227E-02  2.99188425E-04
1.30071625E-01  9.55621898E-03  3.05240508E-04
1.31340616E-01  9.33670625E-03  3.03331122E-04
1.32609608E-01  9.44307633E-03  3.11330426E-04
1.33878599E-01  8.91344994E-03  2.95175501E-04
1.35147591E-01  8.92782770E-03  3.04718094E-04
1.36416582E-01  8.65518861E-03  3.09076015E-04
1.37685574E-01  8.55139829E-03  3.08479182E-04
1.38954565E-01  8.54202546E-03  3.15394485E-04
1.40223557E-01  8.38053599E-03  2.95296195E-04
1.41492548E-01  8.34616646E-03  3.11764161E-04
1.42761540E-01  8.30720179E-03  3.13647412E-04
1.44030531E-01  7.89359957E-03  3.10885254E-04
1.45299522E-01  8.54775868E-03  3.13931203E-04
1.46568514E-01  7.89225101E-03  3.03249981E-04
1.47837505E-01  8.46124254E-03  3.03378882E-04
1.49106497E-01  7.72482157E-03  3.00196640E-04
1.50375488E-01  7.82358088E-03  2.97854625E-04
1.51644480E-01  8.11574794E-03  2.93520541E-04
1.52913471E-01  7.79425725E-03  2.86334864E-04
1.54182463E-01  8.04170407E-03  2.88876443E-04
1.55451454E-01  8.06872360E-03  2.85189744E-04
1.56720446E-01  8.11811537E-03  2.82874389E-04
1.57989437E-01  8.70462134E-03  2.87396077E-04
1.59258429E-01  8.51018727E-03  2.86386610E-04
1.60527420E-01  8.41046870E-03  2.79991189E-04
1.61796411E-01  7.95594975E-03  2.63888505E-04
1.63065403E-01  8.42095166E-03  2.68686941E-04
1.64334394E-01  7.99282268E-03  2.67225056E-04
1.65603386E-01  8.16865079E-03  2.64033006E-04
1.66872377E-01  8.50374624E-03  2.67659867E-04
1.68141369E-01  8.53737816E-03  2.48610217E-04
1.69410360E-01  8.21303949E-03  2.56093394E-04
1.70679352E-01  8.68354738E-03  2.56518659E-04
1.71948343E-01  9.14396904E-03  2.52622820E-04
1.73217335E-01  9.45427269E-03  2.53763283E-04
1.74486326E-01  9.20900144E-03  2.46734446E-04
1.75755318E-01  9.19834524E-03  2.51221791E-04
1.77024309E-01  9.91897285E-03  2.49691337E-04
1.78293300E-01  9.76403430E-03  2.41511094E-04
1.79562292E-01  1.01575200E-02  2.47994903E-04
1.80831283E-01  1.06879398E-02  2.45289179E-04
1.82100275E-01  1.13170948E-02  2.45542469E-04
1.83369266E-01  1.14104263E-02  2.49604811E-04
1.84638258E-01  1.20908134E-02  2.42439841E-04
1.85907249E-01  1.32921319E-02  2.46656826E-04
1.87176241E-01  1.41127631E-02  2.47575314E-04
1.88445232E-01  1.60209704E-02  2.50233192E-04
1.89714224E-01  1.74011216E-02  2.51041027E-04
1.90983215E-01  2.06986871E-02  2.61718116E-04
1.92252207E-01  2.38444079E-02  2.62878981E-04
1.93521198E-01  2.82539520E-02  2.74466467E-04
1.94790190E-01  3.26072760E-02  2.72501406E-04
1.96059181E-01  3.65150869E-02  2.84147565E-04
1.97328172E-01  3.92553434E-02  2.90691853E-04
1.98597164E-01  4.05042768E-02  2.93105462E-04
1.99866155E-01  3.94611880E-02  2.89058022E-04
2.01135147E-01  3.68269496E-02  2.76721432E-04
2.02404138E-01  3.28116082E-02  2.67326832E-04
2.03673130E-01  2.83558518E-02  2.61563866E-04
2.04942121E-01  2.41236798E-02  2.55903433E-04
