### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  3.54586090E+02  2.09345788E-01
1.71313847E-02  2.37487091E+02  1.59762591E-01
1.84003762E-02  1.67863068E+02  1.37336493E-01
1.96693677E-02  1.24658394E+02  1.13311909E-01
2.09383591E-02  9.60784988E+01  1.01617925E-01
2.22073506E-02  7.43336639E+01  7.82625675E-02
2.34763421E-02  5.85565376E+01  7.19004348E-02
2.47453335E-02  4.72784576E+01  6.24158308E-02
2.60143250E-02  3.86017113E+01  5.37738316E-02
2.72833164E-02  3.21311836E+01  5.14550954E-02
2.85523079E-02  2.67749729E+01  4.06781584E-02
2.98212994E-02  2.25296211E+01  3.98906209E-02
3.10902908E-02  1.93513069E+01  3.54807153E-02
3.23592823E-02  1.67401257E+01  3.30002867E-02
3.36282738E-02  1.44622316E+01  2.98964102E-02
3.48972652E-02  1.25652456E+01  2.57080570E-02
3.61662567E-02  1.09190388E+01  2.47685146E-02
3.74352481E-02  9.58992195E+00  2.27019992E-02
3.87042396E-02  8.55301380E+00  2.16765516E-02
3.99732311E-02  7.63052130E+00  1.94236320E-02
4.12422225E-02  6.72698689E+00  1.78833343E-02
4.25112140E-02  6.09890842E+00  1.71942189E-02
4.37802055E-02  5.46089315E+00  1.58116817E-02
4.50491969E-02  4.93828630E+00  1.50361266E-02
4.63181884E-02  4.46011496E+00  1.37881339E-02
4.75871798E-02  4.05146933E+00  1.30295232E-02
4.88561713E-02  3.67217922E+00  1.29662696E-02
5.01251628E-02  3.37021375E+00  1.12359188E-02
5.13941542E-02  3.07016325E+00  1.06438119E-02
5.26631457E-02  2.79338074E+00  1.03879767E-02
5.39321372E-02  2.57760882E+00  9.82639939E-03
5.52011286E-02  2.39576054E+00  9.85409133E-03
5.64701201E-02  2.21266127E+00  8.48423317E-03
5.77391115E-02  2.04857874E+00  8.64640903E-03
5.90081030E-02  1.89959490E+00  8.13331455E-03
6.02770945E-02  1.78763747E+00  7.86240119E-03
6.15460859E-02  1.64439952E+00  7.41239544E-03
6.28150774E-02  1.55258107E+00  6.91636372E-03
6.40840689E-02  1.44682491E+00  7.07343780E-03
6.53530603E-02  1.36445415E+00  6.45379117E-03
6.66220518E-02  1.28599513E+00  6.39513694E-03
6.78910432E-02  1.22762513E+00  5.80757251E-03
6.91600347E-02  1.15614688E+00  5.79939503E-03
7.04290262E-02  1.10817432E+00  5.78076532E-03
7.16980176E-02  1.05454910E+00  5.38273528E-03
7.29670091E-02  1.00686038E+00  5.23067266E-03
7.42360006E-02  9.64561880E-01  5.09175612E-03
7.55049920E-02  9.40813482E-01  5.02871582E-03
7.67739835E-02  9.16773796E-01  5.04705589E-03
7.80429750E-02  8.95608902E-01  4.65976587E-03
7.93119664E-02  8.86656940E-01  4.77914466E-03
8.05809579E-02  8.67276907E-01  4.63116122E-03
8.18499493E-02  8.60511959E-01  4.63633565E-03
8.31189408E-02  8.60413134E-01  4.75780480E-03
8.43879323E-02  8.70757282E-01  4.46536345E-03
8.56569237E-02  8.96838427E-01  4.51094238E-03
8.69259152E-02  9.45711792E-01  4.65365592E-03
8.81949067E-02  9.82137203E-01  4.74246638E-03
8.94638981E-02  1.05525005E+00  4.98558814E-03
9.07328896E-02  1.15769053E+00  5.01164747E-03
9.20018810E-02  1.30465412E+00  5.36758406E-03
9.32708725E-02  1.51892483E+00  5.74062718E-03
9.45398640E-02  1.82108760E+00  6.15232298E-03
9.58088554E-02  2.27336526E+00  6.90310448E-03
9.70778469E-02  2.94808793E+00  7.73116201E-03
9.83468384E-02  3.89803839E+00  9.15655866E-03
9.96158298E-02  5.19729805E+00  1.01010231E-02
1.00884821E-01  6.94609547E+00  1.16775250E-02
1.02153813E-01  8.88258839E+00  1.34202112E-02
1.03422804E-01  1.07893648E+01  1.42736696E-02
1.04691796E-01  1.23345261E+01  1.58146136E-02
1.05960787E-01  1.31436195E+01  1.55770881E-02
1.07229779E-01  1.30443916E+01  1.56950057E-02
1.08498770E-01  1.20404472E+01  1.49093326E-02
1.09767762E-01  1.03330736E+01  1.38119739E-02
1.11036753E-01  8.31885719E+00  1.26309041E-02
1.12305744E-01  6.13227367E+00  1.02377180E-02
1.13574736E-01  4.29162216E+00  9.18888487E-03
1.14843727E-01  2.94370818E+00  7.40696723E-03
1.16112719E-01  2.05082607E+00  6.33962173E-03
1.17381710E-01  1.47917187E+00  5.43820579E-03
1.18650702E-01  1.09916449E+00  4.50088037E-03
1.19919693E-01  8.48696351E-01  3.98479728E-03
1.21188685E-01  6.90756619E-01  3.63646797E-03
1.22457676E-01  5.68667591E-01  3.29952198E-03
1.23726668E-01  4.87254798E-01  3.06613324E-03
1.24995659E-01  4.24332887E-01  2.81243422E-03
1.26264651E-01  3.73863220E-01  2.74255173E-03
1.27533642E-01  3.25419813E-01  2.54327385E-03
1.28802633E-01  2.95326859E-01  2.44255364E-03
1.30071625E-01  2.64205903E-01  2.36398075E-03
1.31340616E-01  2.46909320E-01  2.28531589E-03
1.32609608E-01  2.26272926E-01  2.23605568E-03
1.33878599E-01  2.08738223E-01  2.04941002E-03
1.35147591E-01  1.89183816E-01  2.02663336E-03
1.36416582E-01  1.78290978E-01  1.98493549E-03
1.37685574E-01  1.68483168E-01  1.92959013E-03
1.38954565E-01  1.59746975E-01  1.93593604E-03
1.40223557E-01  1.47080794E-01  1.73456874E-03
1.41492548E-01  1.40976056E-01  1.79751485E-03
1.42761540E-01  1.33297905E-01  1.75604934E-03
1.44030531E-01  1.27653137E-01  1.70264742E-03
1.45299522E-01  1.23585969E-01  1.69886649E-03
1.46568514E-01  1.16805412E-01  1.59262016E-03
1.47837505E-01  1.12335779E-01  1.56749273E-03
1.49106497E-01  1.08864613E-01  1.52261928E-03
1.50375488E-01  1.02955788E-01  1.47441227E-03
1.51644480E-01  1.03498727E-01  1.45975698E-03
1.52913471E-01  9.81476381E-02  1.39010395E-03
1.54182463E-01  9.84259546E-02  1.39209244E-03
1.55451454E-01  9.51585397E-02  1.35540275E-03
1.56720446E-01  9.02486742E-02  1.31487439E-03
1.57989437E-01  8.80963951E-02  1.31707394E-03
1.59258429E-01  8.70797336E-02  1.30172900E-03
1.60527420E-01  8.50740448E-02  1.26330566E-03
1.61796411E-01  8.46102238E-02  1.18582684E-03
1.63065403E-01  7.89028183E-02  1.16083771E-03
1.64334394E-01  7.73195550E-02  1.14325015E-03
1.65603386E-01  7.54426494E-02  1.11979060E-03
1.66872377E-01  7.37231001E-02  1.11650419E-03
1.68141369E-01  7.13074058E-02  1.02528976E-03
1.69410360E-01  7.04895109E-02  1.04951370E-03
1.70679352E-01  6.76217303E-02  1.02634029E-03
1.71948343E-01  6.75474256E-02  1.00404117E-03
1.73217335E-01  6.53554425E-02  9.95157985E-04
1.74486326E-01  6.42463714E-02  9.56453849E-04
1.75755318E-01  6.19056337E-02  9.56820673E-04
