### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  8.24498951E-01  8.96141585E-03
1.71313847E-02  4.04426873E-01  5.85266016E-03
1.84003762E-02  2.49170870E-01  4.69715847E-03
1.96693677E-02  1.80355787E-01  3.82611528E-03
2.09383591E-02  1.41699001E-01  3.46432673E-03
2.22073506E-02  1.17272675E-01  2.75954814E-03
2.34763421E-02  9.36459750E-02  2.55250488E-03
2.47453335E-02  8.99357572E-02  2.41661537E-03
2.60143250E-02  8.05794895E-02  2.18101265E-03
2.72833164E-02  6.91569895E-02  2.11914815E-03
2.85523079E-02  6.30208403E-02  1.75260799E-03
2.98212994E-02  5.92780262E-02  1.81643118E-03
3.10902908E-02  5.84946945E-02  1.73170399E-03
3.23592823E-02  5.34708984E-02  1.65567582E-03
3.36282738E-02  4.91904244E-02  1.54781796E-03
3.48972652E-02  5.04031330E-02  1.44540903E-03
3.61662567E-02  4.66230102E-02  1.43676624E-03
3.74352481E-02  4.44691516E-02  1.37234782E-03
3.87042396E-02  4.35527526E-02  1.37314573E-03
3.99732311E-02  4.02497686E-02  1.25413120E-03
4.12422225E-02  4.12121750E-02  1.24259386E-03
4.25112140E-02  3.91173251E-02  1.22420571E-03
4.37802055E-02  3.70887294E-02  1.15732814E-03
4.50491969E-02  3.62591967E-02  1.14546646E-03
4.63181884E-02  3.65132838E-02  1.10849901E-03
4.75871798E-02  3.53003144E-02  1.07966678E-03
4.88561713E-02  3.34458575E-02  1.09969056E-03
5.01251628E-02  3.45679037E-02  1.01146346E-03
5.13941542E-02  3.27727757E-02  9.77093936E-04
5.26631457E-02  3.21478620E-02  9.91153996E-04
5.39321372E-02  2.99636163E-02  9.43280931E-04
5.52011286E-02  3.10145468E-02  9.96840536E-04
5.64701201E-02  3.07387244E-02  8.89569521E-04
5.77391115E-02  3.22677158E-02  9.64609673E-04
5.90081030E-02  3.08458619E-02  9.23731073E-04
6.02770945E-02  3.00854426E-02  9.08331480E-04
6.15460859E-02  2.97276247E-02  8.87864095E-04
6.28150774E-02  2.92337295E-02  8.43900430E-04
6.40840689E-02  2.92688571E-02  8.96427431E-04
6.53530603E-02  2.83622779E-02  8.29852244E-04
