### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  7.90202618E-03  4.41740314E-03
1.71313847E-02  -2.75906920E-03  2.90641235E-03
1.84003762E-02  9.03546810E-04  2.34349910E-03
1.96693677E-02  -1.67532265E-03  1.89610978E-03
2.09383591E-02  -1.76125765E-03  1.72759604E-03
2.22073506E-02  -7.74294138E-04  1.35201449E-03
2.34763421E-02  2.50302255E-04  1.29564514E-03
2.47453335E-02  -1.34900212E-03  1.17161404E-03
2.60143250E-02  -4.44263220E-04  1.05884997E-03
2.72833164E-02  9.52720642E-04  1.05380721E-03
2.85523079E-02  7.55153596E-04  8.79793719E-04
2.98212994E-02  -1.29021704E-03  9.03674809E-04
3.10902908E-02  6.50037080E-04  8.38811800E-04
3.23592823E-02  5.02943993E-04  8.17226537E-04
3.36282738E-02  -8.51418823E-04  7.74917949E-04
3.48972652E-02  -2.50324607E-04  7.01710058E-04
3.61662567E-02  4.59443778E-04  7.07364990E-04
3.74352481E-02  -2.73209065E-04  6.77737175E-04
3.87042396E-02  1.05464086E-03  6.67451823E-04
3.99732311E-02  9.74461436E-04  6.24091015E-04
4.12422225E-02  9.20832157E-04  6.05302572E-04
4.25112140E-02  3.37537378E-04  5.94905578E-04
4.37802055E-02  4.68239188E-04  5.76308346E-04
4.50491969E-02  9.89351422E-04  5.69982687E-04
4.63181884E-02  2.81456858E-04  5.42827183E-04
4.75871798E-02  8.27092677E-04  5.34682185E-04
4.88561713E-02  6.38637692E-04  5.52317768E-04
5.01251628E-02  1.62222236E-03  4.99000831E-04
5.13941542E-02  1.16358697E-03  4.86221776E-04
5.26631457E-02  7.84456730E-04  4.91359329E-04
5.39321372E-02  9.76961106E-04  4.82717704E-04
5.52011286E-02  1.41540170E-03  5.00180933E-04
5.64701201E-02  1.59739889E-03  4.44772071E-04
5.77391115E-02  1.20197609E-03  4.68576967E-04
5.90081030E-02  1.14420801E-03  4.54811816E-04
6.02770945E-02  2.61197612E-03  4.56291862E-04
6.15460859E-02  2.03573145E-03  4.40549222E-04
6.28150774E-02  1.91064365E-03  4.23653692E-04
6.40840689E-02  3.65703367E-03  4.49485378E-04
6.53530603E-02  2.55043246E-03  4.19652060E-04
6.66220518E-02  3.53280455E-03  4.29654086E-04
6.78910432E-02  3.27228196E-03  3.98368720E-04
6.91600347E-02  3.57779302E-03  4.07678541E-04
7.04290262E-02  4.37138043E-03  4.14212293E-04
7.16980176E-02  4.18477319E-03  3.96776799E-04
7.29670091E-02  5.51581010E-03  3.92108428E-04
7.42360006E-02  5.09722903E-03  3.90445697E-04
7.55049920E-02  5.92748076E-03  3.89011664E-04
7.67739835E-02  6.49999827E-03  3.94597650E-04
7.80429750E-02  7.71105103E-03  3.73218703E-04
7.93119664E-02  8.15395825E-03  3.82796541E-04
8.05809579E-02  9.95737687E-03  3.78641911E-04
8.18499493E-02  1.12693645E-02  3.85563093E-04
8.31189408E-02  1.26811694E-02  3.96913674E-04
8.43879323E-02  1.48319807E-02  3.77656106E-04
8.56569237E-02  1.72504913E-02  3.82949453E-04
8.69259152E-02  2.14813761E-02  3.97386844E-04
8.81949067E-02  2.79399622E-02  4.15518211E-04
8.94638981E-02  3.68148685E-02  4.49444749E-04
9.07328896E-02  5.05010970E-02  4.68404498E-04
9.20018810E-02  6.95648342E-02  5.18593763E-04
9.32708725E-02  9.15215313E-02  5.63220761E-04
9.45398640E-02  1.13538399E-01  5.96296275E-04
9.58088554E-02  1.32846609E-01  6.34519325E-04
9.70778469E-02  1.44118786E-01  6.44703570E-04
9.83468384E-02  1.45054981E-01  6.65208208E-04
9.96158298E-02  1.38001949E-01  6.22703345E-04
1.00884821E-01  1.22008160E-01  5.94256504E-04
1.02153813E-01  1.01769105E-01  5.62581641E-04
1.03422804E-01  8.18052292E-02  5.01800620E-04
1.04691796E-01  6.31209314E-02  4.77815105E-04
1.05960787E-01  4.81730811E-02  4.22300363E-04
1.07229779E-01  3.74892429E-02  3.97324300E-04
1.08498770E-01  3.04544866E-02  3.73785238E-04
1.09767762E-01  2.57841740E-02  3.61611601E-04
1.11036753E-01  2.33216062E-02  3.60390404E-04
1.12305744E-01  2.08820440E-02  3.31891497E-04
1.13574736E-01  1.90686844E-02  3.49934533E-04
1.14843727E-01  1.80949327E-02  3.38078447E-04
1.16112719E-01  1.68159194E-02  3.41759383E-04
1.17381710E-01  1.58847757E-02  3.43171298E-04
1.18650702E-01  1.48409531E-02  3.24509398E-04
1.19919693E-01  1.43473074E-02  3.25383502E-04
1.21188685E-01  1.34605989E-02  3.28067545E-04
1.22457676E-01  1.32781267E-02  3.25041648E-04
1.23726668E-01  1.25942491E-02  3.24757595E-04
1.24995659E-01  1.21983849E-02  3.17582919E-04
1.26264651E-01  1.19021982E-02  3.29782051E-04
1.27533642E-01  1.17393471E-02  3.27791495E-04
1.28802633E-01  1.10087991E-02  3.25682573E-04
1.30071625E-01  1.10923722E-02  3.34075041E-04
1.31340616E-01  1.06595978E-02  3.32584692E-04
1.32609608E-01  1.01089627E-02  3.39378312E-04
1.33878599E-01  1.04496013E-02  3.22924199E-04
1.35147591E-01  1.00741591E-02  3.34711862E-04
1.36416582E-01  9.73215699E-03  3.35560588E-04
1.37685574E-01  1.01178903E-02  3.37884441E-04
1.38954565E-01  9.99525748E-03  3.48143978E-04
1.40223557E-01  1.01073310E-02  3.24745808E-04
1.41492548E-01  9.24912281E-03  3.41298495E-04
1.42761540E-01  9.77989286E-03  3.42925923E-04
1.44030531E-01  9.72606242E-03  3.39336897E-04
1.45299522E-01  9.44239832E-03  3.43820255E-04
1.46568514E-01  9.40494612E-03  3.30194016E-04
1.47837505E-01  9.13951546E-03  3.30969866E-04
1.49106497E-01  8.40205699E-03  3.26360634E-04
1.50375488E-01  9.58639942E-03  3.27433285E-04
1.51644480E-01  9.25011374E-03  3.22094100E-04
1.52913471E-01  8.78109969E-03  3.12665303E-04
1.54182463E-01  8.91916640E-03  3.12690012E-04
1.55451454E-01  8.66666809E-03  3.11168231E-04
1.56720446E-01  9.19709355E-03  3.10098112E-04
1.57989437E-01  9.48563218E-03  3.15909303E-04
1.59258429E-01  9.05186124E-03  3.14210076E-04
1.60527420E-01  9.52891260E-03  3.07929789E-04
1.61796411E-01  9.61931422E-03  2.91327015E-04
1.63065403E-01  9.44025815E-03  2.92545330E-04
1.64334394E-01  9.19392519E-03  2.91842094E-04
1.65603386E-01  9.34916548E-03  2.90811498E-04
1.66872377E-01  9.95827280E-03  2.92485463E-04
1.68141369E-01  1.04462095E-02  2.73300830E-04
1.69410360E-01  1.02523658E-02  2.83100904E-04
1.70679352E-01  1.05013009E-02  2.81548622E-04
1.71948343E-01  1.04855504E-02  2.75326049E-04
1.73217335E-01  1.05433073E-02  2.80163629E-04
1.74486326E-01  1.09998602E-02  2.72094068E-04
1.75755318E-01  1.11161266E-02  2.78606138E-04
1.77024309E-01  1.16471089E-02  2.78079679E-04
1.78293300E-01  1.23248100E-02  2.68120057E-04
1.79562292E-01  1.23794880E-02  2.75032973E-04
1.80831283E-01  1.38352513E-02  2.74391496E-04
1.82100275E-01  1.35952719E-02  2.73519254E-04
1.83369266E-01  1.47216842E-02  2.80279724E-04
1.84638258E-01  1.58637334E-02  2.74091261E-04
1.85907249E-01  1.74093638E-02  2.79418862E-04
1.87176241E-01  1.88911036E-02  2.81971967E-04
1.88445232E-01  2.19044201E-02  2.88281066E-04
1.89714224E-01  2.48671938E-02  2.92013108E-04
1.90983215E-01  2.79688183E-02  3.03262786E-04
1.92252207E-01  3.15931700E-02  3.06721544E-04
1.93521198E-01  3.43989730E-02  3.14434117E-04
1.94790190E-01  3.62612233E-02  3.07115901E-04
1.96059181E-01  3.67917866E-02  3.12778691E-04
1.97328172E-01  3.49154286E-02  3.10795091E-04
1.98597164E-01  3.36413980E-02  3.07044160E-04
1.99866155E-01  3.03471778E-02  2.98711035E-04
2.01135147E-01  2.69279964E-02  2.84022302E-04
2.02404138E-01  2.33398173E-02  2.73430313E-04
2.03673130E-01  1.93993393E-02  2.65748822E-04
2.04942121E-01  1.71289407E-02  2.64200382E-04
