### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  5.87993979E-01  1.69338996E-03
1.71313847E-02  3.36896569E-01  1.19528559E-03
1.84003762E-02  2.30056018E-01  1.00993132E-03
1.96693677E-02  1.73723742E-01  8.40255874E-04
2.09383591E-02  1.41748577E-01  7.75323773E-04
2.22073506E-02  1.16506733E-01  6.15465222E-04
2.34763421E-02  9.71346200E-02  5.81696804E-04
2.47453335E-02  8.39264318E-02  5.22371731E-04
2.60143250E-02  7.43433163E-02  4.68765676E-04
2.72833164E-02  6.62565380E-02  4.64139128E-04
2.85523079E-02  5.85319474E-02  3.77798628E-04
2.98212994E-02  5.29286079E-02  3.84065497E-04
3.10902908E-02  4.84551191E-02  3.52673873E-04
3.23592823E-02  4.41407375E-02  3.36609228E-04
3.36282738E-02  4.13709804E-02  3.17628175E-04
3.48972652E-02  3.80047970E-02  2.80847598E-04
3.61662567E-02  3.55621353E-02  2.80783919E-04
3.74352481E-02  3.36485878E-02  2.67119671E-04
3.87042396E-02  3.12211215E-02  2.60148983E-04
3.99732311E-02  2.93731131E-02  2.39407949E-04
4.12422225E-02  2.73580104E-02  2.26540753E-04
4.25112140E-02  2.60911789E-02  2.23434501E-04
4.37802055E-02  2.46002395E-02  2.10844606E-04
4.50491969E-02  2.33900286E-02  2.05587479E-04
4.63181884E-02  2.26837620E-02  1.95390079E-04
4.75871798E-02  2.11107247E-02  1.86849895E-04
4.88561713E-02  2.04280671E-02  1.92188076E-04
5.01251628E-02  1.95264090E-02  1.70000625E-04
5.13941542E-02  1.87405311E-02  1.65308855E-04
5.26631457E-02  1.76936612E-02  1.64408761E-04
5.39321372E-02  1.69433132E-02  1.58507333E-04
5.52011286E-02  1.68900173E-02  1.64617275E-04
5.64701201E-02  1.62250288E-02  1.44583290E-04
5.77391115E-02  1.57835595E-02  1.51128770E-04
5.90081030E-02  1.51230292E-02  1.44539023E-04
6.02770945E-02  1.48058925E-02  1.42527017E-04
6.15460859E-02  1.42768640E-02  1.37644034E-04
6.28150774E-02  1.39952544E-02  1.30891029E-04
6.40840689E-02  1.35701243E-02  1.36690505E-04
6.53530603E-02  1.33143766E-02  1.27157517E-04
6.66220518E-02  1.29726250E-02  1.28178872E-04
6.78910432E-02  1.27962604E-02  1.18540112E-04
6.91600347E-02  1.23530794E-02  1.19827477E-04
7.04290262E-02  1.20818913E-02  1.20764074E-04
7.16980176E-02  1.17798038E-02  1.13938608E-04
7.29670091E-02  1.14478609E-02  1.11853435E-04
7.42360006E-02  1.10373432E-02  1.09367153E-04
7.55049920E-02  1.07616354E-02  1.07991298E-04
7.67739835E-02  1.05447285E-02  1.08942346E-04
7.80429750E-02  1.01478305E-02  9.99521581E-05
7.93119664E-02  9.88677330E-03  1.01931917E-04
8.05809579E-02  9.39287432E-03  9.75148505E-05
8.18499493E-02  9.14214086E-03  9.68421155E-05
8.31189408E-02  9.02213156E-03  9.87776002E-05
8.43879323E-02  8.57290439E-03  9.02015236E-05
8.56569237E-02  8.32520798E-03  8.86600537E-05
8.69259152E-02  8.21070652E-03  8.86740672E-05
