### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  8.34483624E-01  2.85556796E-03
1.71313847E-02  4.13797945E-01  1.87510229E-03
1.84003762E-02  2.58003891E-01  1.51390675E-03
1.96693677E-02  1.83321804E-01  1.22179557E-03
2.09383591E-02  1.45315796E-01  1.11119554E-03
2.22073506E-02  1.17290117E-01  8.74109683E-04
2.34763421E-02  9.93221626E-02  8.32616177E-04
2.47453335E-02  8.73006508E-02  7.54136592E-04
2.60143250E-02  7.92544037E-02  6.85115869E-04
2.72833164E-02  7.20013082E-02  6.84890314E-04
2.85523079E-02  6.56787902E-02  5.66492730E-04
2.98212994E-02  6.06542304E-02  5.82032488E-04
3.10902908E-02  5.56819662E-02  5.35231666E-04
3.23592823E-02  5.32920063E-02  5.23580238E-04
3.36282738E-02  5.03187254E-02  4.95878863E-04
3.48972652E-02  4.83327657E-02  4.48353967E-04
3.61662567E-02  4.62726355E-02  4.53501649E-04
3.74352481E-02  4.45692167E-02  4.35387308E-04
3.87042396E-02  4.22734171E-02  4.28692671E-04
3.99732311E-02  4.08218503E-02  3.99677956E-04
4.12422225E-02  3.93916145E-02  3.85028834E-04
4.25112140E-02  3.78686413E-02  3.81404476E-04
4.37802055E-02  3.66445072E-02  3.64536070E-04
4.50491969E-02  3.71260382E-02  3.66848224E-04
4.63181884E-02  3.55827920E-02  3.46643152E-04
4.75871798E-02  3.48247364E-02  3.40065220E-04
4.88561713E-02  3.37857716E-02  3.50190618E-04
5.01251628E-02  3.30085494E-02  3.13245284E-04
5.13941542E-02  3.29551026E-02  3.10715579E-04
5.26631457E-02  3.22989337E-02  3.14501813E-04
5.39321372E-02  3.16363499E-02  3.06856527E-04
5.52011286E-02  3.09968889E-02  3.15994985E-04
5.64701201E-02  3.08401790E-02  2.82423280E-04
5.77391115E-02  3.02531067E-02  2.96140875E-04
5.90081030E-02  2.95788050E-02  2.86291965E-04
6.02770945E-02  3.00592426E-02  2.87633360E-04
6.15460859E-02  2.95992307E-02  2.80496228E-04
6.28150774E-02  2.88508646E-02  2.65949930E-04
6.40840689E-02  2.83594616E-02  2.79494561E-04
6.53530603E-02  2.84926146E-02  2.63337832E-04
6.66220518E-02  2.83584036E-02  2.67873547E-04
6.78910432E-02  2.80936696E-02  2.48065859E-04
6.91600347E-02  2.71784868E-02  2.50937155E-04
7.04290262E-02  2.71336082E-02  2.55211315E-04
7.16980176E-02  2.67066862E-02  2.42116002E-04
7.29670091E-02  2.65176184E-02  2.39697605E-04
7.42360006E-02  2.61120386E-02  2.36735999E-04
7.55049920E-02  2.54784767E-02  2.34202176E-04
7.67739835E-02  2.48860624E-02  2.35362517E-04
7.80429750E-02  2.43792031E-02  2.17684748E-04
7.93119664E-02  2.46243458E-02  2.25233802E-04
8.05809579E-02  2.42692623E-02  2.19439113E-04
8.18499493E-02  2.38466207E-02  2.18606554E-04
8.31189408E-02  2.37902384E-02  2.24015486E-04
8.43879323E-02  2.33352128E-02  2.07241654E-04
8.56569237E-02  2.30139699E-02  2.04961325E-04
8.69259152E-02  2.31352411E-02  2.06467346E-04
8.81949067E-02  2.31628083E-02  2.06787809E-04
8.94638981E-02  2.26089377E-02  2.07315359E-04
9.07328896E-02  2.25528069E-02  1.98776106E-04
9.20018810E-02  2.27693263E-02  2.01068731E-04
9.32708725E-02  2.24218275E-02  1.97932677E-04
9.45398640E-02  2.16649473E-02  1.90825507E-04
9.58088554E-02  2.18458213E-02  1.92483189E-04
9.70778469E-02  2.15130895E-02  1.87860132E-04
9.83468384E-02  2.16709636E-02  1.94130494E-04
9.96158298E-02  2.19268575E-02  1.86378165E-04
1.00884821E-01  2.16438696E-02  1.85311161E-04
1.02153813E-01  2.15351190E-02  1.87849495E-04
1.03422804E-01  2.16685049E-02  1.81936630E-04
1.04691796E-01  2.16523260E-02  1.88513615E-04
1.05960787E-01  2.13175528E-02  1.78418166E-04
1.07229779E-01  2.15629488E-02  1.81450188E-04
1.08498770E-01  2.12254133E-02  1.78274044E-04
1.09767762E-01  2.11269408E-02  1.77897484E-04
1.11036753E-01  2.13984344E-02  1.82236516E-04
1.12305744E-01  2.10617259E-02  1.70818355E-04
1.13574736E-01  2.09894124E-02  1.82983844E-04
1.14843727E-01  2.11376473E-02  1.78606686E-04
1.16112719E-01  2.11485978E-02  1.83210039E-04
1.17381710E-01  2.10734904E-02  1.84925637E-04
1.18650702E-01  2.07739249E-02  1.76304296E-04
1.19919693E-01  2.09992863E-02  1.78535716E-04
1.21188685E-01  2.11637858E-02  1.81334472E-04
1.22457676E-01  2.08958220E-02  1.80053234E-04
1.23726668E-01  2.09624544E-02  1.81025258E-04
1.24995659E-01  2.07507722E-02  1.77099922E-04
1.26264651E-01  2.09812783E-02  1.85067882E-04
1.27533642E-01  2.12306585E-02  1.84967299E-04
1.28802633E-01  2.07350403E-02  1.84317818E-04
1.30071625E-01  2.05468629E-02  1.87867059E-04
1.31340616E-01  2.07647961E-02  1.88822480E-04
1.32609608E-01  2.04635859E-02  1.91782194E-04
1.33878599E-01  2.04701945E-02  1.82878284E-04
1.35147591E-01  2.06064321E-02  1.90646009E-04
1.36416582E-01  2.10448839E-02  1.93938933E-04
1.37685574E-01  2.08698884E-02  1.93493412E-04
1.38954565E-01  2.04281472E-02  1.97529298E-04
1.40223557E-01  2.05803700E-02  1.84948454E-04
1.41492548E-01  2.04920862E-02  1.95445187E-04
1.42761540E-01  2.02039331E-02  1.94992259E-04
1.44030531E-01  2.06225570E-02  1.95044180E-04
1.45299522E-01  2.04841308E-02  1.97443849E-04
1.46568514E-01  2.06176378E-02  1.90539678E-04
1.47837505E-01  2.03121491E-02  1.90296429E-04
1.49106497E-01  2.03377884E-02  1.87604906E-04
1.50375488E-01  2.03738846E-02  1.87067213E-04
1.51644480E-01  2.05325186E-02  1.85092591E-04
1.52913471E-01  2.05358658E-02  1.81172378E-04
1.54182463E-01  2.03438886E-02  1.80431147E-04
1.55451454E-01  2.05718335E-02  1.79608731E-04
1.56720446E-01  1.97995082E-02  1.75753084E-04
1.57989437E-01  2.05348358E-02  1.81150273E-04
1.59258429E-01  2.03756671E-02  1.79495852E-04
1.60527420E-01  2.06197761E-02  1.77342939E-04
1.61796411E-01  2.04176996E-02  1.65903475E-04
1.63065403E-01  2.04207990E-02  1.68400089E-04
1.64334394E-01  2.00674869E-02  1.66048922E-04
1.65603386E-01  2.02209465E-02  1.65303485E-04
1.66872377E-01  2.05354728E-02  1.67922160E-04
1.68141369E-01  2.04603318E-02  1.56542432E-04
1.69410360E-01  2.02599168E-02  1.60450232E-04
1.70679352E-01  1.99519843E-02  1.59115574E-04
1.71948343E-01  2.00454686E-02  1.56037713E-04
1.73217335E-01  2.02768110E-02  1.58122915E-04
1.74486326E-01  2.03207098E-02  1.53496658E-04
1.75755318E-01  2.01442558E-02  1.55869144E-04
1.77024309E-01  2.00247802E-02  1.54344161E-04
1.78293300E-01  2.02051662E-02  1.48816835E-04
1.79562292E-01  2.01407727E-02  1.51821019E-04
1.80831283E-01  2.03898065E-02  1.50434716E-04
1.82100275E-01  2.04927791E-02  1.50310443E-04
1.83369266E-01  2.01795548E-02  1.51642322E-04
1.84638258E-01  2.02803370E-02  1.46631995E-04
1.85907249E-01  2.01353673E-02  1.47803716E-04
1.87176241E-01  2.03682594E-02  1.46788880E-04
1.88445232E-01  2.03336477E-02  1.46615886E-04
1.89714224E-01  2.01293454E-02  1.44052174E-04
1.90983215E-01  2.02946309E-02  1.46630540E-04
1.92252207E-01  2.01851837E-02  1.43354177E-04
1.93521198E-01  2.04599742E-02  1.45177532E-04
1.94790190E-01  2.03985162E-02  1.40080650E-04
1.96059181E-01  2.02211998E-02  1.41607161E-04
1.97328172E-01  2.01973990E-02  1.42231613E-04
1.98597164E-01  2.02664081E-02  1.42594232E-04
1.99866155E-01  2.01364513E-02  1.41011828E-04
2.01135147E-01  2.01297626E-02  1.38037984E-04
2.02404138E-01  2.01046485E-02  1.36633724E-04
2.03673130E-01  2.00916417E-02  1.37680385E-04
2.04942121E-01  2.01349109E-02  1.39397569E-04
2.06211113E-01  1.99385919E-02  1.35302573E-04
2.07480104E-01  2.01074518E-02  1.35134527E-04
2.08749096E-01  2.02674232E-02  1.37838069E-04
2.10018087E-01  2.02768352E-02  1.37242896E-04
2.11287079E-01  1.99148133E-02  1.33244917E-04
2.12556070E-01  2.01265998E-02  1.31571127E-04
2.13825061E-01  2.01513395E-02  1.34479691E-04
2.15094053E-01  2.03022249E-02  1.34560920E-04
2.16363044E-01  2.02068277E-02  1.34601782E-04
2.17632036E-01  2.00293288E-02  1.30974688E-04
2.18901027E-01  2.02503167E-02  1.31902911E-04
2.20170019E-01  1.98138822E-02  1.30471977E-04
2.21439010E-01  1.99492536E-02  1.31263485E-04
2.22708002E-01  2.01477855E-02  1.29388543E-04
2.23976993E-01  2.00343262E-02  1.29762077E-04
2.25245985E-01  2.01047696E-02  1.29248176E-04
2.26514976E-01  2.01356038E-02  1.30252098E-04
2.27783968E-01  2.03140136E-02  1.28592394E-04
2.29052959E-01  2.01006271E-02  1.27255480E-04
2.30321950E-01  2.01160572E-02  1.26211642E-04
2.31590942E-01  1.99006107E-02  1.28958927E-04
2.32859933E-01  2.01617479E-02  1.27216481E-04
2.34128925E-01  2.01795511E-02  1.26152561E-04
2.35397916E-01  2.00689137E-02  1.23712452E-04
2.36666908E-01  1.98034905E-02  1.25532635E-04
2.37935899E-01  1.98299922E-02  1.25853927E-04
2.39204891E-01  2.00581737E-02  1.22479134E-04
2.40473882E-01  2.00862344E-02  1.25876846E-04
2.41742874E-01  2.00093146E-02  1.23836915E-04
2.43011865E-01  1.97823755E-02  1.23168880E-04
2.44280857E-01  2.02174522E-02  1.24285725E-04
2.45549848E-01  1.99671648E-02  1.20641998E-04
2.46818839E-01  2.01596059E-02  1.23640202E-04
2.48087831E-01  2.03576609E-02  1.22474594E-04
2.49356822E-01  2.00478304E-02  1.22644415E-04
2.50625814E-01  1.99386980E-02  1.18883174E-04
2.51894805E-01  1.99434850E-02  1.20243014E-04
2.53163797E-01  1.99959464E-02  1.22381753E-04
2.54432788E-01  2.00736634E-02  1.19673343E-04
2.55701780E-01  2.01955289E-02  1.19965211E-04
2.56970771E-01  2.02381071E-02  1.18663615E-04
2.58239763E-01  1.99364554E-02  1.19839482E-04
2.59508754E-01  2.02784706E-02  1.20581150E-04
2.60777746E-01  2.00155657E-02  1.16029427E-04
2.62046737E-01  2.01298501E-02  1.20193174E-04
2.63315728E-01  2.00108383E-02  1.16313786E-04
2.64584720E-01  2.00469382E-02  1.19267308E-04
2.65853711E-01  1.99929755E-02  1.17778000E-04
2.67122703E-01  1.97675489E-02  1.12863177E-04
2.68391694E-01  2.02890020E-02  1.17781383E-04
2.69660686E-01  2.00857017E-02  1.16237439E-04
2.70929677E-01  1.99728217E-02  1.17210300E-04
2.72198669E-01  1.99189223E-02  1.14960814E-04
2.73467660E-01  1.99392326E-02  1.14631104E-04
2.74736652E-01  2.01714188E-02  1.17871656E-04
2.76005643E-01  2.00032480E-02  1.12554662E-04
2.77274635E-01  1.98585726E-02  1.13463277E-04
2.78543626E-01  1.99572928E-02  1.13997645E-04
2.79812618E-01  1.98613517E-02  1.12803325E-04
2.81081609E-01  2.00281106E-02  1.15553848E-04
2.82350600E-01  1.98179428E-02  1.11089146E-04
2.83619592E-01  2.00736485E-02  1.12915724E-04
2.84888583E-01  1.99837014E-02  1.11832596E-04
2.86157575E-01  1.99225601E-02  1.12685244E-04
2.87426566E-01  1.98818613E-02  1.12499052E-04
2.88695558E-01  2.00169943E-02  1.10764602E-04
2.89964549E-01  1.98597275E-02  1.11971436E-04
2.91233541E-01  2.00460739E-02  1.10478184E-04
2.92502532E-01  2.01364234E-02  1.10908368E-04
2.93771524E-01  1.99574642E-02  1.11496498E-04
