### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  8.08161378E-01  2.80351983E-03
1.71313847E-02  4.02265012E-01  1.84442173E-03
1.84003762E-02  2.54855037E-01  1.50109909E-03
1.96693677E-02  1.79905027E-01  1.20750035E-03
2.09383591E-02  1.46177679E-01  1.11185259E-03
2.22073506E-02  1.15996182E-01  8.67240247E-04
2.34763421E-02  9.95837376E-02  8.31745390E-04
2.47453335E-02  8.77511650E-02  7.54293927E-04
2.60143250E-02  7.82776922E-02  6.79265824E-04
2.72833164E-02  7.15813860E-02  6.81265548E-04
2.85523079E-02  6.54920414E-02  5.64356917E-04
2.98212994E-02  6.14714548E-02  5.84516441E-04
3.10902908E-02  5.68103418E-02  5.39293687E-04
3.23592823E-02  5.33483028E-02  5.22596878E-04
3.36282738E-02  5.10780029E-02  4.98423702E-04
3.48972652E-02  4.91739586E-02  4.51213913E-04
3.61662567E-02  4.69916202E-02  4.55864880E-04
3.74352481E-02  4.47159186E-02  4.34935879E-04
3.87042396E-02  4.32163551E-02  4.32401983E-04
3.99732311E-02  4.11779508E-02  4.00541903E-04
4.12422225E-02  4.08025905E-02  3.90890113E-04
4.25112140E-02  4.00096513E-02  3.90938891E-04
4.37802055E-02  3.78841013E-02  3.69640766E-04
4.50491969E-02  3.77106294E-02  3.69055313E-04
4.63181884E-02  3.60962376E-02  3.48337140E-04
4.75871798E-02  3.53165343E-02  3.41593404E-04
4.88561713E-02  3.52116302E-02  3.56583128E-04
5.01251628E-02  3.45073566E-02  3.19415645E-04
5.13941542E-02  3.39425504E-02  3.14483623E-04
5.26631457E-02  3.30809429E-02  3.17717640E-04
5.39321372E-02  3.28316092E-02  3.11581302E-04
5.52011286E-02  3.24917920E-02  3.22380394E-04
5.64701201E-02  3.23314294E-02  2.88189825E-04
5.77391115E-02  3.19715813E-02  3.03527777E-04
5.90081030E-02  3.16657647E-02  2.95307080E-04
6.02770945E-02  3.17050628E-02  2.94359343E-04
6.15460859E-02  3.12271472E-02  2.87114584E-04
6.28150774E-02  3.03085931E-02  2.71814090E-04
6.40840689E-02  3.11483629E-02  2.91792327E-04
6.53530603E-02  3.08009945E-02  2.72647798E-04
6.66220518E-02  3.03269438E-02  2.76380044E-04
6.78910432E-02  3.04622762E-02  2.57303240E-04
6.91600347E-02  3.01453322E-02  2.63426948E-04
7.04290262E-02  3.00024394E-02  2.67460302E-04
7.16980176E-02  2.99534258E-02  2.55271822E-04
7.29670091E-02  2.99907383E-02  2.54008570E-04
7.42360006E-02  3.00242510E-02  2.52746802E-04
7.55049920E-02  2.98873298E-02  2.52149475E-04
7.67739835E-02  3.01496629E-02  2.57237232E-04
7.80429750E-02  3.01907007E-02  2.40585796E-04
7.93119664E-02  3.02871466E-02  2.48411408E-04
8.05809579E-02  3.04635558E-02  2.44120223E-04
8.18499493E-02  3.11302338E-02  2.48016964E-04
8.31189408E-02  3.25822495E-02  2.60264846E-04
8.43879323E-02  3.33858281E-02  2.45616597E-04
8.56569237E-02  3.46794538E-02  2.49073753E-04
8.69259152E-02  3.64495143E-02  2.56546598E-04
8.81949067E-02  3.95091735E-02  2.66990770E-04
8.94638981E-02  4.47302125E-02  2.88055424E-04
9.07328896E-02  5.34701049E-02  3.02187982E-04
9.20018810E-02  6.78055510E-02  3.43277061E-04
9.32708725E-02  8.75342339E-02  3.86571803E-04
9.45398640E-02  1.11082755E-01  4.26234532E-04
9.58088554E-02  1.36625320E-01  4.74706467E-04
9.70778469E-02  1.56609446E-01  4.99840709E-04
9.83468384E-02  1.72337160E-01  5.40070527E-04
9.96158298E-02  1.76558524E-01  5.22242393E-04
1.00884821E-01  1.68325976E-01  5.09927573E-04
1.02153813E-01  1.51572198E-01  4.91755723E-04
1.03422804E-01  1.29541546E-01  4.38729156E-04
1.04691796E-01  1.05501369E-01  4.10275941E-04
1.05960787E-01  8.43793675E-02  3.50104470E-04
1.07229779E-01  6.76130876E-02  3.16975667E-04
1.08498770E-01  5.58935031E-02  2.84960144E-04
1.09767762E-01  4.79582921E-02  2.64030095E-04
1.11036753E-01  4.31389883E-02  2.55229621E-04
1.12305744E-01  4.08956558E-02  2.34695704E-04
1.13574736E-01  3.86639982E-02  2.44811934E-04
1.14843727E-01  3.75973620E-02  2.35006752E-04
1.16112719E-01  3.63998525E-02  2.37234359E-04
1.17381710E-01  3.53227183E-02  2.36036169E-04
1.18650702E-01  3.43228094E-02  2.23403069E-04
1.19919693E-01  3.36536616E-02  2.22901072E-04
1.21188685E-01  3.28258835E-02  2.22748451E-04
1.22457676E-01  3.25778686E-02  2.21971583E-04
1.23726668E-01  3.21291015E-02  2.21331211E-04
1.24995659E-01  3.21258754E-02  2.17458277E-04
1.26264651E-01  3.14300768E-02  2.23604919E-04
1.27533642E-01  3.12258806E-02  2.21452996E-04
1.28802633E-01  3.09160911E-02  2.22237111E-04
1.30071625E-01  3.04583106E-02  2.25781187E-04
1.31340616E-01  3.05843093E-02  2.26151620E-04
1.32609608E-01  2.97705792E-02  2.28205376E-04
1.33878599E-01  2.99741235E-02  2.18402754E-04
1.35147591E-01  3.04279737E-02  2.28508768E-04
1.36416582E-01  2.96086222E-02  2.27566648E-04
1.37685574E-01  2.93862913E-02  2.26776654E-04
1.38954565E-01  2.94853207E-02  2.33897896E-04
1.40223557E-01  2.92145517E-02  2.17483816E-04
1.41492548E-01  2.88350731E-02  2.28837045E-04
1.42761540E-01  2.88305376E-02  2.29767436E-04
1.44030531E-01  2.86503397E-02  2.27036391E-04
1.45299522E-01  2.84932349E-02  2.29622310E-04
1.46568514E-01  2.85610165E-02  2.21645270E-04
1.47837505E-01  2.87713800E-02  2.23515162E-04
1.49106497E-01  2.86394469E-02  2.19856782E-04
1.50375488E-01  2.88368426E-02  2.19619134E-04
1.51644480E-01  2.87055708E-02  2.16456785E-04
1.52913471E-01  2.82270517E-02  2.09857739E-04
1.54182463E-01  2.84815487E-02  2.10807921E-04
1.55451454E-01  2.82548163E-02  2.07975390E-04
1.56720446E-01  2.86519527E-02  2.08671161E-04
1.57989437E-01  2.86797173E-02  2.11608087E-04
1.59258429E-01  2.86042150E-02  2.10031329E-04
1.60527420E-01  2.85006315E-02  2.05889257E-04
1.61796411E-01  2.86500510E-02  1.94194683E-04
1.63065403E-01  2.82991771E-02  1.95753877E-04
1.64334394E-01  2.86517497E-02  1.95896064E-04
1.65603386E-01  2.87543181E-02  1.94535503E-04
1.66872377E-01  2.90066060E-02  1.96984387E-04
1.68141369E-01  2.88376119E-02  1.83456577E-04
1.69410360E-01  2.89769210E-02  1.89491606E-04
1.70679352E-01  2.93275379E-02  1.90107603E-04
1.71948343E-01  2.90501472E-02  1.85251847E-04
1.73217335E-01  2.92387642E-02  1.87312762E-04
1.74486326E-01  2.94284467E-02  1.82126576E-04
1.75755318E-01  2.97890790E-02  1.86712379E-04
1.77024309E-01  2.98358854E-02  1.85736964E-04
1.78293300E-01  3.00243907E-02  1.78862916E-04
1.79562292E-01  3.09472792E-02  1.85551136E-04
1.80831283E-01  3.08873206E-02  1.82593663E-04
1.82100275E-01  3.13550197E-02  1.83448778E-04
1.83369266E-01  3.14889476E-02  1.86676683E-04
1.84638258E-01  3.29768360E-02  1.84250472E-04
1.85907249E-01  3.31609547E-02  1.86716061E-04
1.87176241E-01  3.44060734E-02  1.88162696E-04
1.88445232E-01  3.55468765E-02  1.90998806E-04
1.89714224E-01  3.74840498E-02  1.93533342E-04
1.90983215E-01  4.01689708E-02  2.02889409E-04
1.92252207E-01  4.40777726E-02  2.08439116E-04
1.93521198E-01  4.81631085E-02  2.19213689E-04
1.94790190E-01  5.22946231E-02  2.20656817E-04
1.96059181E-01  5.66137433E-02  2.32933467E-04
1.97328172E-01  5.91217503E-02  2.39216693E-04
1.98597164E-01  6.03452548E-02  2.41984308E-04
1.99866155E-01  5.92513978E-02  2.37722183E-04
2.01135147E-01  5.69331162E-02  2.28074423E-04
2.02404138E-01  5.27901761E-02  2.17603520E-04
2.03673130E-01  4.82316650E-02  2.09721111E-04
2.04942121E-01  4.41814363E-02  2.03123156E-04
2.06211113E-01  4.04396877E-02  1.89478204E-04
2.07480104E-01  3.72612253E-02  1.80903153E-04
2.08749096E-01  3.47987488E-02  1.77731839E-04
2.10018087E-01  3.31295505E-02  1.72687098E-04
2.11287079E-01  3.18003893E-02  1.65688762E-04
2.12556070E-01  3.05592418E-02  1.59697025E-04
2.13825061E-01  2.92520933E-02  1.59754272E-04
2.15094053E-01  2.84969807E-02  1.57378759E-04
2.16363044E-01  2.79335137E-02  1.56275142E-04
2.17632036E-01  2.73786988E-02  1.51062690E-04
2.18901027E-01  2.68360525E-02  1.50126769E-04
2.20170019E-01  2.59369072E-02  1.47404178E-04
2.21439010E-01  2.58822832E-02  1.47761457E-04
2.22708002E-01  2.55761407E-02  1.44130594E-04
2.23976993E-01  2.51234416E-02  1.43810699E-04
2.25245985E-01  2.46969275E-02  1.41697703E-04
2.26514976E-01  2.43922342E-02  1.41855809E-04
2.27783968E-01  2.39221454E-02  1.38197604E-04
2.29052959E-01  2.39662901E-02  1.37704963E-04
2.30321950E-01  2.37259474E-02  1.35796450E-04
2.31590942E-01  2.33070478E-02  1.38279996E-04
2.32859933E-01  2.32406892E-02  1.35474038E-04
2.34128925E-01  2.29332764E-02  1.33471141E-04
2.35397916E-01  2.28815917E-02  1.31006775E-04
2.36666908E-01  2.27160193E-02  1.33303110E-04
2.37935899E-01  2.27649957E-02  1.33815643E-04
2.39204891E-01  2.21623816E-02  1.27762643E-04
2.40473882E-01  2.22818814E-02  1.31578243E-04
2.41742874E-01  2.20210366E-02  1.28961561E-04
2.43011865E-01  2.21946407E-02  1.29328648E-04
2.44280857E-01  2.20149271E-02  1.28933461E-04
2.45549848E-01  2.18749028E-02  1.25389590E-04
2.46818839E-01  2.15686411E-02  1.27184030E-04
2.48087831E-01  2.15691160E-02  1.25509905E-04
2.49356822E-01  2.15329267E-02  1.26355997E-04
2.50625814E-01  2.14669257E-02  1.22657424E-04
2.51894805E-01  2.14129426E-02  1.23883132E-04
2.53163797E-01  2.12315135E-02  1.25410676E-04
2.54432788E-01  2.13351510E-02  1.22619444E-04
2.55701780E-01  2.10924149E-02  1.22016601E-04
2.56970771E-01  2.13446338E-02  1.21219338E-04
2.58239763E-01  2.09897142E-02  1.22361278E-04
2.59508754E-01  2.10827850E-02  1.22341531E-04
2.60777746E-01  2.10057572E-02  1.18326454E-04
2.62046737E-01  2.09553912E-02  1.22116282E-04
2.63315728E-01  2.10189186E-02  1.18711454E-04
2.64584720E-01  2.11670436E-02  1.21840916E-04
2.65853711E-01  2.07851455E-02  1.19572680E-04
2.67122703E-01  2.10430771E-02  1.15830764E-04
2.68391694E-01  2.08947714E-02  1.19011718E-04
2.69660686E-01  2.06415597E-02  1.17438052E-04
2.70929677E-01  2.08883155E-02  1.19294869E-04
2.72198669E-01  2.05043890E-02  1.16103525E-04
2.73467660E-01  2.06685178E-02  1.16184237E-04
2.74736652E-01  2.07842551E-02  1.19191187E-04
