### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  5.90649903E-01  5.36444830E-03
1.71313847E-02  3.35162073E-01  3.76824546E-03
1.84003762E-02  2.31738269E-01  3.20378901E-03
1.96693677E-02  1.73855931E-01  2.65684491E-03
2.09383591E-02  1.41759992E-01  2.45070318E-03
2.22073506E-02  1.14399813E-01  1.92766089E-03
2.34763421E-02  1.00194201E-01  1.86733296E-03
2.47453335E-02  8.58168006E-02  1.66957488E-03
2.60143250E-02  7.33500347E-02  1.47171773E-03
2.72833164E-02  6.65557086E-02  1.47032831E-03
2.85523079E-02  5.83948866E-02  1.19272631E-03
2.98212994E-02  5.37351333E-02  1.22314983E-03
3.10902908E-02  4.74416129E-02  1.10299501E-03
3.23592823E-02  4.39542457E-02  1.06168434E-03
3.36282738E-02  4.21221964E-02  1.01300946E-03
3.48972652E-02  3.75698134E-02  8.82591878E-04
3.61662567E-02  3.34651880E-02  8.60916509E-04
3.74352481E-02  3.37687284E-02  8.45805625E-04
3.87042396E-02  3.04047614E-02  8.11443082E-04
3.99732311E-02  2.96448432E-02  7.60124181E-04
4.12422225E-02  2.76802629E-02  7.20244541E-04
4.25112140E-02  2.55671404E-02  6.98962889E-04
4.37802055E-02  2.46883333E-02  6.67496119E-04
4.50491969E-02  2.31184196E-02  6.45927212E-04
4.63181884E-02  2.26163883E-02  6.16454112E-04
4.75871798E-02  2.09943913E-02  5.88885043E-04
4.88561713E-02  1.91304572E-02  5.88141382E-04
5.01251628E-02  1.97130702E-02  5.39931585E-04
5.13941542E-02  1.90117359E-02  5.26680844E-04
5.26631457E-02  1.75732002E-02  5.17754583E-04
5.39321372E-02  1.75281372E-02  5.09185484E-04
5.52011286E-02  1.67122427E-02  5.17969776E-04
5.64701201E-02  1.65173132E-02  4.60951036E-04
5.77391115E-02  1.57092288E-02  4.75818000E-04
5.90081030E-02  1.55119328E-02  4.62268159E-04
6.02770945E-02  1.51991425E-02  4.56808426E-04
6.15460859E-02  1.41589670E-02  4.33848385E-04
6.28150774E-02  1.37972627E-02  4.10976849E-04
6.40840689E-02  1.34683782E-02  4.30433371E-04
6.53530603E-02  1.37420101E-02  4.08068503E-04
6.66220518E-02  1.26116434E-02  4.00577497E-04
6.78910432E-02  1.33319842E-02  3.82599188E-04
6.91600347E-02  1.31645957E-02  3.89723544E-04
7.04290262E-02  1.20178564E-02  3.80572834E-04
7.16980176E-02  1.18703367E-02  3.62299324E-04
7.29670091E-02  1.17186196E-02  3.57200071E-04
7.42360006E-02  1.04576834E-02  3.38224781E-04
7.55049920E-02  1.06485384E-02  3.39884718E-04
7.67739835E-02  1.03285424E-02  3.41651845E-04
7.80429750E-02  1.02642523E-02  3.17834201E-04
7.93119664E-02  9.67722666E-03  3.19180603E-04
8.05809579E-02  9.28051863E-03  3.07810114E-04
8.18499493E-02  8.69494583E-03  3.00617394E-04
8.31189408E-02  9.19905212E-03  3.17798811E-04
8.43879323E-02  8.15112423E-03  2.78953259E-04
8.56569237E-02  7.90652912E-03  2.73342448E-04
8.69259152E-02  7.99791515E-03  2.77350569E-04
8.81949067E-02  7.83554744E-03  2.74252438E-04
8.94638981E-02  7.55814277E-03  2.74973281E-04
9.07328896E-02  7.64573645E-03  2.65258510E-04
9.20018810E-02  7.05986517E-03  2.58382759E-04
9.32708725E-02  6.91901380E-03  2.55719846E-04
9.45398640E-02  6.87420787E-03  2.49055825E-04
9.58088554E-02  6.92431722E-03  2.49534380E-04
9.70778469E-02  6.83326926E-03  2.44903640E-04
9.83468384E-02  6.54559303E-03  2.49799516E-04
9.96158298E-02  6.14450499E-03  2.33061233E-04
1.00884821E-01  6.39225589E-03  2.36001943E-04
1.02153813E-01  6.66589569E-03  2.42298222E-04
1.03422804E-01  6.34947373E-03  2.30394144E-04
1.04691796E-01  5.82687184E-03  2.31796002E-04
1.05960787E-01  6.40403247E-03  2.28512159E-04
1.07229779E-01  5.51608112E-03  2.18937668E-04
1.08498770E-01  5.70562389E-03  2.20139322E-04
1.09767762E-01  6.02595136E-03  2.22655377E-04
1.11036753E-01  5.44315809E-03  2.22215996E-04
1.12305744E-01  5.32261655E-03  2.06347642E-04
1.13574736E-01  5.59956860E-03  2.25047101E-04
1.14843727E-01  4.84155444E-03  2.07929290E-04
1.16112719E-01  5.50808571E-03  2.23631607E-04
1.17381710E-01  5.49336756E-03  2.24863034E-04
1.18650702E-01  5.36895823E-03  2.14783693E-04
1.19919693E-01  5.06675802E-03  2.11836319E-04
1.21188685E-01  5.12409909E-03  2.16757791E-04
1.22457676E-01  5.29778050E-03  2.17810768E-04
1.23726668E-01  4.94370516E-03  2.14852626E-04
1.24995659E-01  4.98196948E-03  2.12839572E-04
1.26264651E-01  4.99632582E-03  2.17913272E-04
1.27533642E-01  4.61499067E-03  2.14864398E-04
1.28802633E-01  5.10453992E-03  2.21118855E-04
1.30071625E-01  4.42744466E-03  2.16946646E-04
1.31340616E-01  4.85278759E-03  2.25437921E-04
1.32609608E-01  4.70370054E-03  2.28475765E-04
1.33878599E-01  4.79077734E-03  2.17942783E-04
1.35147591E-01  5.21191116E-03  2.30911406E-04
1.36416582E-01  4.86954674E-03  2.28491976E-04
1.37685574E-01  4.52991715E-03  2.22438888E-04
1.38954565E-01  4.69814381E-03  2.32499035E-04
1.40223557E-01  4.79796762E-03  2.19211128E-04
1.41492548E-01  4.97811008E-03  2.33856961E-04
1.42761540E-01  4.64174384E-03  2.30883234E-04
1.44030531E-01  4.44925809E-03  2.27710654E-04
1.45299522E-01  4.82385140E-03  2.32890947E-04
1.46568514E-01  4.48544975E-03  2.20243805E-04
1.47837505E-01  4.93750302E-03  2.28470657E-04
1.49106497E-01  4.62552207E-03  2.21787399E-04
1.50375488E-01  4.35313396E-03  2.15284832E-04
1.51644480E-01  4.37449757E-03  2.15798849E-04
1.52913471E-01  4.39283019E-03  2.07384888E-04
1.54182463E-01  4.52489313E-03  2.09126025E-04
1.55451454E-01  4.32265503E-03  2.06181780E-04
1.56720446E-01  4.26667370E-03  2.02631636E-04
1.57989437E-01  4.50197887E-03  2.10149054E-04
1.59258429E-01  4.24192008E-03  2.07393925E-04
1.60527420E-01  4.25946992E-03  2.04800381E-04
1.61796411E-01  4.56631416E-03  1.95446555E-04
1.63065403E-01  4.26154956E-03  1.93136220E-04
1.64334394E-01  4.10475442E-03  1.90815394E-04
1.65603386E-01  4.64532664E-03  1.95572997E-04
1.66872377E-01  4.35821386E-03  1.93598520E-04
1.68141369E-01  4.10276419E-03  1.77695998E-04
1.69410360E-01  4.45351843E-03  1.88352235E-04
1.70679352E-01  4.19401983E-03  1.84728560E-04
1.71948343E-01  4.37019113E-03  1.82999240E-04
1.73217335E-01  4.04897053E-03  1.80447270E-04
1.74486326E-01  4.09094896E-03  1.74866305E-04
1.75755318E-01  3.91171081E-03  1.76341608E-04
1.77024309E-01  4.02698060E-03  1.76818532E-04
1.78293300E-01  4.13963804E-03  1.71891937E-04
1.79562292E-01  4.28355113E-03  1.76425863E-04
1.80831283E-01  4.18077968E-03  1.71844775E-04
1.82100275E-01  4.11519222E-03  1.71994267E-04
1.83369266E-01  4.02248558E-03  1.73087028E-04
1.84638258E-01  4.12777439E-03  1.67912338E-04
1.85907249E-01  4.09590360E-03  1.68692190E-04
1.87176241E-01  4.30282718E-03  1.68786559E-04
1.88445232E-01  3.85584054E-03  1.65831516E-04
1.89714224E-01  3.87726468E-03  1.61750024E-04
1.90983215E-01  4.25093342E-03  1.68438157E-04
1.92252207E-01  4.31699818E-03  1.66288795E-04
1.93521198E-01  4.12749685E-03  1.65881327E-04
1.94790190E-01  3.86113185E-03  1.57378774E-04
1.96059181E-01  4.09513246E-03  1.61454533E-04
1.97328172E-01  3.93227534E-03  1.61031494E-04
1.98597164E-01  3.93246813E-03  1.62240496E-04
1.99866155E-01  3.85096134E-03  1.59469157E-04
2.01135147E-01  4.22879495E-03  1.59657735E-04
