### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  7.78874993E-01  2.75874743E-03
1.71313847E-02  3.97053242E-01  1.83675601E-03
1.84003762E-02  2.55923659E-01  1.50778482E-03
1.96693677E-02  1.85356021E-01  1.22854905E-03
2.09383591E-02  1.46376982E-01  1.11524039E-03
2.22073506E-02  1.19920611E-01  8.83851491E-04
2.34763421E-02  1.03170015E-01  8.48569616E-04
2.47453335E-02  8.91797543E-02  7.62193347E-04
2.60143250E-02  8.18565786E-02  6.96255593E-04
2.72833164E-02  7.40434676E-02  6.94548711E-04
2.85523079E-02  6.70521408E-02  5.72364777E-04
2.98212994E-02  6.23156056E-02  5.89882198E-04
3.10902908E-02  5.80955967E-02  5.46614872E-04
3.23592823E-02  5.47479801E-02  5.30634949E-04
3.36282738E-02  5.16581014E-02  5.02460287E-04
3.48972652E-02  4.93051596E-02  4.52894397E-04
3.61662567E-02  4.74331379E-02  4.59069095E-04
3.74352481E-02  4.54436392E-02  4.39546595E-04
3.87042396E-02  4.39880937E-02  4.37244074E-04
3.99732311E-02  4.23136689E-02  4.06787352E-04
4.12422225E-02  4.06705327E-02  3.91207956E-04
4.25112140E-02  3.93535383E-02  3.88574263E-04
4.37802055E-02  3.84885520E-02  3.73604678E-04
4.50491969E-02  3.67075652E-02  3.65000189E-04
4.63181884E-02  3.55043635E-02  3.46370041E-04
4.75871798E-02  3.50820646E-02  3.41422681E-04
4.88561713E-02  3.45952287E-02  3.54416203E-04
5.01251628E-02  3.39276008E-02  3.17564787E-04
5.13941542E-02  3.36631462E-02  3.13922617E-04
5.26631457E-02  3.23030576E-02  3.14630859E-04
5.39321372E-02  3.14480104E-02  3.05752066E-04
5.52011286E-02  3.14953476E-02  3.18440871E-04
5.64701201E-02  3.11099645E-02  2.83554313E-04
5.77391115E-02  3.07264328E-02  2.98592175E-04
5.90081030E-02  3.00600380E-02  2.88514566E-04
6.02770945E-02  2.93809623E-02  2.84454494E-04
6.15460859E-02  2.92155929E-02  2.78618361E-04
6.28150774E-02  2.86838915E-02  2.65244686E-04
6.40840689E-02  2.83699781E-02  2.79531087E-04
6.53530603E-02  2.84606963E-02  2.63034075E-04
6.66220518E-02  2.82523837E-02  2.67455616E-04
6.78910432E-02  2.80799326E-02  2.47839605E-04
6.91600347E-02  2.72577200E-02  2.51473306E-04
