### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  8.01778257E-01  3.12388153E-03
1.71313847E-02  4.19601798E-01  2.10730475E-03
1.84003762E-02  2.66643912E-01  1.71760691E-03
1.96693677E-02  1.91909760E-01  1.39512843E-03
2.09383591E-02  1.52766481E-01  1.27151166E-03
2.22073506E-02  1.22377098E-01  9.96486167E-04
2.34763421E-02  1.04888357E-01  9.54913965E-04
2.47453335E-02  9.17989761E-02  8.63077061E-04
2.60143250E-02  8.06299746E-02  7.71235500E-04
2.72833164E-02  7.40752816E-02  7.75286695E-04
2.85523079E-02  6.74515516E-02  6.40742423E-04
2.98212994E-02  6.18828535E-02  6.56105229E-04
3.10902908E-02  5.65122142E-02  6.01773732E-04
3.23592823E-02  5.46887107E-02  5.91965392E-04
3.36282738E-02  5.11374176E-02  5.57922409E-04
3.48972652E-02  4.85687889E-02  5.01643750E-04
3.61662567E-02  4.75241914E-02  5.12884639E-04
3.74352481E-02  4.39892597E-02  4.82699979E-04
3.87042396E-02  4.34355289E-02  4.85049124E-04
3.99732311E-02  4.09524105E-02  4.46695107E-04
4.12422225E-02  3.92274745E-02  4.28978470E-04
4.25112140E-02  3.84603739E-02  4.28822445E-04
4.37802055E-02  3.77222113E-02  4.12911730E-04
4.50491969E-02  3.69820632E-02  4.08672931E-04
4.63181884E-02  3.59811932E-02  3.89104825E-04
4.75871798E-02  3.46742272E-02  3.79091740E-04
4.88561713E-02  3.36108170E-02  3.89691471E-04
5.01251628E-02  3.41306292E-02  3.55487020E-04
5.13941542E-02  3.29408012E-02  3.46742483E-04
5.26631457E-02  3.21499892E-02  3.50490969E-04
5.39321372E-02  3.19873840E-02  3.44246830E-04
5.52011286E-02  3.22466120E-02  3.59427038E-04
5.64701201E-02  3.14954743E-02  3.18571168E-04
5.77391115E-02  3.11474148E-02  3.35553923E-04
5.90081030E-02  3.09641398E-02  3.26803827E-04
6.02770945E-02  3.11734863E-02  3.26604582E-04
6.15460859E-02  3.04957144E-02  3.17625061E-04
6.28150774E-02  3.10103334E-02  3.07497976E-04
6.40840689E-02  3.00892107E-02  3.20966414E-04
6.53530603E-02  3.06551196E-02  3.04378540E-04
6.66220518E-02  3.02415770E-02  3.08710325E-04
6.78910432E-02  3.02517638E-02  2.86951486E-04
6.91600347E-02  3.03077698E-02  2.95349775E-04
7.04290262E-02  3.00918631E-02  2.99939275E-04
7.16980176E-02  2.98856534E-02  2.85100861E-04
7.29670091E-02  3.01808156E-02  2.84849026E-04
7.42360006E-02  3.07616014E-02  2.86079972E-04
7.55049920E-02  3.10746245E-02  2.87296338E-04
7.67739835E-02  3.03413346E-02  2.88818293E-04
7.80429750E-02  3.12642828E-02  2.73730722E-04
7.93119664E-02  3.22912373E-02  2.86773400E-04
8.05809579E-02  3.26631702E-02  2.82524299E-04
8.18499493E-02  3.36253755E-02  2.88069452E-04
8.31189408E-02  3.47880721E-02  3.00668005E-04
8.43879323E-02  3.63748297E-02  2.86638067E-04
8.56569237E-02  3.81651260E-02  2.92240584E-04
8.69259152E-02  4.19416018E-02  3.07737646E-04
8.81949067E-02  4.68200147E-02  3.25060857E-04
8.94638981E-02  5.48875518E-02  3.56879900E-04
9.07328896E-02  6.62242174E-02  3.76201497E-04
9.20018810E-02  8.13939050E-02  4.20765835E-04
9.32708725E-02  9.97262895E-02  4.61641932E-04
9.45398640E-02  1.20343313E-01  4.96355526E-04
9.58088554E-02  1.37182817E-01  5.32188860E-04
9.70778469E-02  1.48511708E-01  5.44577080E-04
9.83468384E-02  1.51899144E-01  5.67270501E-04
9.96158298E-02  1.47314519E-01  5.33706858E-04
1.00884821E-01  1.35337874E-01  5.11558901E-04
1.02153813E-01  1.17119625E-01  4.83627460E-04
1.03422804E-01  9.87521559E-02  4.28568514E-04
1.04691796E-01  8.17368478E-02  4.04029823E-04
1.05960787E-01  6.79134056E-02  3.51411931E-04
1.07229779E-01  5.71053922E-02  3.25923349E-04
1.08498770E-01  5.04682176E-02  3.02966626E-04
1.09767762E-01  4.61310968E-02  2.89697899E-04
1.11036753E-01  4.27036323E-02  2.84136127E-04
1.12305744E-01  4.01158594E-02  2.60016124E-04
1.13574736E-01  3.88549864E-02  2.74588558E-04
1.14843727E-01  3.76609527E-02  2.63125228E-04
1.16112719E-01  3.58832851E-02  2.63512717E-04
1.17381710E-01  3.58003899E-02  2.65866605E-04
1.18650702E-01  3.47695462E-02  2.51628575E-04
1.19919693E-01  3.36099714E-02  2.49337638E-04
1.21188685E-01  3.33352126E-02  2.51115300E-04
1.22457676E-01  3.26851606E-02  2.48629192E-04
1.23726668E-01  3.20288353E-02  2.47318298E-04
1.24995659E-01  3.13827395E-02  2.40558336E-04
1.26264651E-01  3.11700553E-02  2.49047938E-04
1.27533642E-01  3.13547254E-02  2.48406024E-04
1.28802633E-01  3.08773611E-02  2.48379598E-04
1.30071625E-01  3.08246650E-02  2.54036160E-04
1.31340616E-01  3.02109942E-02  2.51665508E-04
1.32609608E-01  3.01918201E-02  2.57006235E-04
1.33878599E-01  2.98525691E-02  2.43888207E-04
1.35147591E-01  2.97442209E-02  2.52966216E-04
1.36416582E-01  2.96995100E-02  2.54977087E-04
1.37685574E-01  2.95284372E-02  2.54360551E-04
1.38954565E-01  2.91551594E-02  2.60248140E-04
1.40223557E-01  2.91590020E-02  2.43088944E-04
1.41492548E-01  2.96353605E-02  2.59367371E-04
1.42761540E-01  2.92825121E-02  2.59031949E-04
1.44030531E-01  2.92192381E-02  2.56433006E-04
1.45299522E-01  2.88040508E-02  2.58308311E-04
1.46568514E-01  2.86145713E-02  2.48318829E-04
1.47837505E-01  2.88483463E-02  2.50270095E-04
1.49106497E-01  2.91574933E-02  2.47977063E-04
1.50375488E-01  2.90013067E-02  2.46529438E-04
1.51644480E-01  2.85730585E-02  2.41600355E-04
1.52913471E-01  2.84230560E-02  2.35580825E-04
1.54182463E-01  2.85710599E-02  2.36246939E-04
1.55451454E-01  2.85686590E-02  2.33819141E-04
1.56720446E-01  2.87522469E-02  2.33637882E-04
