### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  7.57969439E-01  2.72408896E-03
1.71313847E-02  3.92636269E-01  1.82828063E-03
1.84003762E-02  2.51870573E-01  1.49722118E-03
1.96693677E-02  1.81859896E-01  1.21807470E-03
2.09383591E-02  1.47476733E-01  1.12050469E-03
2.22073506E-02  1.18874587E-01  8.80846113E-04
2.34763421E-02  1.00266755E-01  8.37364234E-04
2.47453335E-02  8.88059959E-02  7.61340256E-04
2.60143250E-02  7.80568942E-02  6.80561818E-04
2.72833164E-02  7.17894584E-02  6.84519473E-04
2.85523079E-02  6.54563308E-02  5.66093018E-04
2.98212994E-02  5.96487001E-02  5.77728904E-04
3.10902908E-02  5.59882000E-02  5.37234009E-04
3.23592823E-02  5.31556197E-02  5.23379247E-04
3.36282738E-02  5.07212989E-02  4.98372421E-04
3.48972652E-02  4.83593233E-02  4.48968494E-04
3.61662567E-02  4.61583510E-02  4.53385350E-04
3.74352481E-02  4.34114411E-02  4.30049142E-04
3.87042396E-02  4.16045710E-02  4.25625301E-04
3.99732311E-02  4.13390137E-02  4.02662496E-04
4.12422225E-02  3.97353955E-02  3.87097534E-04
4.25112140E-02  3.80712338E-02  3.82554776E-04
4.37802055E-02  3.69527340E-02  3.66606488E-04
4.50491969E-02  3.54754627E-02  3.59145022E-04
4.63181884E-02  3.49313691E-02  3.43805237E-04
4.75871798E-02  3.40765193E-02  3.36879661E-04
4.88561713E-02  3.43839973E-02  3.53647250E-04
5.01251628E-02  3.34083065E-02  3.15284706E-04
5.13941542E-02  3.27688754E-02  3.09981959E-04
5.26631457E-02  3.26634273E-02  3.16644087E-04
5.39321372E-02  3.13435197E-02  3.05689813E-04
5.52011286E-02  3.19328830E-02  3.20934487E-04
5.64701201E-02  3.13137136E-02  2.84727517E-04
5.77391115E-02  3.06935012E-02  2.98445259E-04
5.90081030E-02  3.03950552E-02  2.90278986E-04
6.02770945E-02  3.06208376E-02  2.90375785E-04
6.15460859E-02  3.02346162E-02  2.83630390E-04
6.28150774E-02  2.99997572E-02  2.71433732E-04
6.40840689E-02  2.94442512E-02  2.85068236E-04
6.53530603E-02  2.98201777E-02  2.69206415E-04
6.66220518E-02  2.89398171E-02  2.70792749E-04
6.78910432E-02  2.96159890E-02  2.54728424E-04
6.91600347E-02  2.93808375E-02  2.61078967E-04
7.04290262E-02  2.91845612E-02  2.64861388E-04
7.16980176E-02  2.93035805E-02  2.53404171E-04
7.29670091E-02  2.91818678E-02  2.51506834E-04
7.42360006E-02  2.92186085E-02  2.50338606E-04
7.55049920E-02  2.90197842E-02  2.49606848E-04
7.67739835E-02  2.91909911E-02  2.54206068E-04
7.80429750E-02  2.94662956E-02  2.38654931E-04
