### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  7.66846061E-01  8.65071826E-03
1.71313847E-02  3.89758945E-01  5.75105986E-03
1.84003762E-02  2.43172929E-01  4.64473246E-03
1.96693677E-02  1.77367762E-01  3.79792904E-03
2.09383591E-02  1.42904520E-01  3.48236994E-03
2.22073506E-02  1.14440024E-01  2.72863219E-03
2.34763421E-02  9.62655172E-02  2.59044231E-03
2.47453335E-02  8.54240954E-02  2.35747988E-03
2.60143250E-02  7.52927735E-02  2.11027521E-03
2.72833164E-02  6.51909336E-02  2.05945992E-03
2.85523079E-02  6.34346083E-02  1.75935950E-03
2.98212994E-02  5.92803024E-02  1.81820884E-03
3.10902908E-02  5.47546558E-02  1.67703629E-03
3.23592823E-02  5.33680953E-02  1.65646721E-03
3.36282738E-02  5.16759120E-02  1.58796215E-03
3.48972652E-02  4.61393036E-02  1.38549367E-03
3.61662567E-02  4.66681607E-02  1.43884111E-03
3.74352481E-02  4.50637229E-02  1.38281740E-03
3.87042396E-02  4.35496196E-02  1.37441384E-03
3.99732311E-02  4.12249379E-02  1.26981060E-03
4.12422225E-02  3.95645723E-02  1.22040324E-03
4.25112140E-02  3.72021869E-02  1.19326066E-03
4.37802055E-02  3.73045281E-02  1.16180163E-03
4.50491969E-02  3.65818478E-02  1.15107629E-03
4.63181884E-02  3.76267023E-02  1.12582115E-03
4.75871798E-02  3.35484035E-02  1.05406379E-03
4.88561713E-02  3.32931764E-02  1.09942723E-03
5.01251628E-02  3.32737453E-02  9.93793481E-04
5.13941542E-02  3.48460488E-02  1.00886240E-03
5.26631457E-02  3.31551321E-02  1.00793503E-03
5.39321372E-02  3.10267787E-02  9.59332334E-04
5.52011286E-02  3.16501297E-02  1.00794085E-03
5.64701201E-02  3.15426402E-02  9.02678585E-04
5.77391115E-02  3.24161090E-02  9.68178210E-04
5.90081030E-02  3.18124406E-02  9.37274250E-04
6.02770945E-02  3.01432051E-02  9.08845861E-04
6.15460859E-02  3.14994976E-02  9.13881522E-04
6.28150774E-02  3.09441015E-02  8.68652074E-04
6.40840689E-02  3.12363673E-02  9.25135741E-04
6.53530603E-02  3.13813277E-02  8.70694057E-04
6.66220518E-02  2.99313348E-02  8.68754170E-04
