### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  3.52932953E+02  2.00764462E-01
1.71313847E-02  2.36716873E+02  1.53322920E-01
1.84003762E-02  1.67174362E+02  1.31743908E-01
1.96693677E-02  1.24187965E+02  1.08715609E-01
2.09383591E-02  9.56301193E+01  9.74522606E-02
2.22073506E-02  7.38656540E+01  7.49928653E-02
2.34763421E-02  5.83602791E+01  6.89985305E-02
2.47453335E-02  4.70624390E+01  5.98601326E-02
2.60143250E-02  3.85251198E+01  5.16389124E-02
2.72833164E-02  3.21167755E+01  4.94502336E-02
2.85523079E-02  2.66605320E+01  3.90183143E-02
2.98212994E-02  2.24058552E+01  3.82394791E-02
3.10902908E-02  1.92604923E+01  3.40257920E-02
3.23592823E-02  1.65572987E+01  3.15479003E-02
3.36282738E-02  1.44295731E+01  2.87055243E-02
3.48972652E-02  1.24626207E+01  2.46108044E-02
3.61662567E-02  1.09100266E+01  2.37989631E-02
3.74352481E-02  9.60611057E+00  2.18407586E-02
3.87042396E-02  8.52288532E+00  2.07999013E-02
3.99732311E-02  7.58060169E+00  1.86098348E-02
4.12422225E-02  6.74670076E+00  1.72155648E-02
4.25112140E-02  6.05583191E+00  1.64695084E-02
4.37802055E-02  5.42835522E+00  1.51536651E-02
4.50491969E-02  4.93988180E+00  1.44558456E-02
4.63181884E-02  4.45662117E+00  1.32486820E-02
4.75871798E-02  4.04818010E+00  1.25195729E-02
4.88561713E-02  3.69114637E+00  1.24960020E-02
5.01251628E-02  3.33790231E+00  1.07486527E-02
5.13941542E-02  3.08680892E+00  1.02590863E-02
5.26631457E-02  2.80333662E+00  1.00032445E-02
5.39321372E-02  2.56881189E+00  9.42951627E-03
5.52011286E-02  2.39237571E+00  9.46557336E-03
5.64701201E-02  2.19246578E+00  8.11818428E-03
5.77391115E-02  2.03685141E+00  8.28755647E-03
5.90081030E-02  1.89501464E+00  7.80873606E-03
6.02770945E-02  1.78196228E+00  7.54574407E-03
6.15460859E-02  1.65941477E+00  7.15763820E-03
6.28150774E-02  1.54941046E+00  6.64157793E-03
6.40840689E-02  1.44762588E+00  6.80123921E-03
6.53530603E-02  1.37040138E+00  6.21722639E-03
6.66220518E-02  1.28523958E+00  6.14553364E-03
6.78910432E-02  1.21600032E+00  5.55604743E-03
6.91600347E-02  1.14320064E+00  5.54338144E-03
7.04290262E-02  1.10072386E+00  5.53806219E-03
7.16980176E-02  1.05387127E+00  5.17250318E-03
7.29670091E-02  1.00936127E+00  5.03423624E-03
